"",BBFB1.Q.N.DE.CH.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:48,
1991-01,-102.537,
1991-04,-457.198,
1991-07,-394.213,
1991-10,-271.216,
1992-01,-344.832,
1992-04,-363.338,
1992-07,-540.679,
1992-10,-521.128,
1993-01,-449.564,
1993-04,-648.121,
1993-07,-603.557,
1993-10,-394.989,
1994-01,-707.661,
1994-04,-789.927,
1994-07,-915.166,
1994-10,-876.145,
1995-01,-719.256,
1995-04,-867.626,
1995-07,-826.184,
1995-10,-670.172,
1996-01,-454.097,
1996-04,-766.121,
1996-07,-716.053,
1996-10,-494.139,
1997-01,-401.443,
1997-04,-848.930,
1997-07,-666.149,
1997-10,-108.365,
1998-01,-403.887,
1998-04,-782.973,
1998-07,-696.966,
1998-10,-417.255,
1999-01,-372.050,
1999-04,-505.734,
1999-07,-771.289,
1999-10,-785.303,
2000-01,-195.747,
2000-04,-1093.833,
2000-07,-889.370,
2000-10,-330.495,
2001-01,-569.526,
2001-04,-857.030,
2001-07,-402.371,
2001-10,-245.180,
2002-01,-222.040,
2002-04,-459.643,
2002-07,-311.349,
2002-10,-100.666,
2003-01,-553.910,
2003-04,-838.262,
2003-07,-315.894,
2003-10,-202.931,
2004-01,-209.084,
2004-04,-436.020,
2004-07,-70.561,
2004-10,-13.972,
2005-01,-55.520,
2005-04,-459.118,
2005-07,72.147,
2005-10,129.121,
2006-01,54.250,
2006-04,-598.115,
2006-07,-32.861,
2006-10,-39.006,
2007-01,435.606,
2007-04,-278.460,
2007-07,160.822,
2007-10,582.222,
2008-01,1283.236,
2008-04,-322.535,
2008-07,90.475,
2008-10,826.850,
2009-01,1154.269,
2009-04,388.529,
2009-07,743.334,
2009-10,469.028,
2010-01,446.284,
2010-04,-485.620,
2010-07,376.737,
2010-10,542.172,
2011-01,-110.711,
2011-04,-1319.035,
2011-07,-244.857,
2011-10,-107.762,
2012-01,-209.912,
2012-04,-1455.018,
2012-07,-310.910,
2012-10,955.750,
2013-01,203.706,
2013-04,-932.908,
2013-07,165.406,
2013-10,576.884,
2014-01,436.620,Provisional value
2014-04,-788.864,Provisional value
2014-07,-4.545,Provisional value
