"",BBSF2.M.1.T.00000.AKT01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Equity funds / Loans received,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:23,
2009-09,105,
2009-10,109,
2009-11,383,
2009-12,113,
2010-01,139,
2010-02,87,
2010-03,136,
2010-04,100,
2010-05,136,
2010-06,115,
2010-07,359,
2010-08,370,
2010-09,169,
2010-10,114,
2010-11,125,
2010-12,110,
2011-01,109,
2011-02,135,
2011-03,170,
2011-04,171,
2011-05,72,
2011-06,667,
2011-07,191,
2011-08,246,
2011-09,134,
2011-10,143,
2011-11,123,
2011-12,65,
2012-01,267,
2012-02,130,
2012-03,131,
2012-04,126,
2012-05,133,
2012-06,91,
2012-07,126,
2012-08,168,
2012-09,123,
2012-10,208,
2012-11,131,
2012-12,181,
2013-01,171,
2013-02,190,
2013-03,300,
2013-04,359,
2013-05,386,
2013-06,365,
2013-07,316,
2013-08,326,
2013-09,322,
2013-10,311,
2013-11,329,
2013-12,922,
2014-01,311,
2014-02,304,
2014-03,208,
2014-04,226,
2014-05,388,
2014-06,508,
2014-07,313,
2014-08,150,
2014-09,466,
2014-10,151,
2014-11,215,
