"",BBEX3.M.TRL.USD.CA.AA.A01,BBEX3.M.TRL.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Turkey / USD 1 = TRL ... (buying),
unit,TRL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:31,
1982-01,139.60,
1982-02,143.70,
1982-03,146.55,
1982-04,147.75,
1982-05,151.20,
1982-06,164.00,
1982-07,167.50,
1982-08,170.90,
1982-09,175.00,
1982-10,178.85,
1982-11,183.00,
1982-12,184.90,
1983-01,191.15,
1983-02,194.30,
1983-03,203.75,
1983-04,208.00,
1983-05,213.75,
1983-06,219.35,
1983-07,228.90,
1983-08,238.85,
1983-09,243.45,
1983-10,250.00,
1983-11,266.20,
1983-12,280.00,
1984-01,309.30,
1984-02,308.75,
1984-03,320.60,
1984-04,337.75,
1984-05,355.20,
1984-06,368.10,
1984-07,380.75,
1984-08,386.70,
1984-09,406.55,
1984-10,413.55,
1984-11,427.35,
1984-12,442.50,
1985-01,451.40,
1985-02,480.90,
1985-03,488.65,
1985-04,509.70,
1985-05,525.70,
1985-06,533.05,
1985-07,529.45,
1985-08,533.25,
1985-09,542.20,
1985-10,548.80,
1985-11,557.90,
1985-12,574.00,
1986-01,581.05,
1986-02,591.00,
1986-03,658.25,
1986-04,651.65,
1986-05,682.55,
1986-06,675.35,
1986-07,673.15,
1986-08,676.55,
1986-09,691.95,
1986-10,735.70,
1986-11,745.20,
1986-12,755.90,
1987-01,753.65,
1987-02,764.30,
1987-03,776.00,
1987-04,795.15,
1987-05,819.00,
1987-06,850.30,
1987-07,877.85,
1987-08,894.80,
1987-09,931.40,
1987-10,944.45,
1987-11,967.80,
1987-12,1018.35,
1988-01,1117.65,
1988-02,1176.45,
1988-03,1220.70,
1988-04,1266.30,
1988-05,1320.10,
1988-06,1385.85,
1988-07,1440.80,
1988-08,1533.21,
1988-09,1649.01,
1988-10,1681.61,
1988-11,1776.46,
1988-12,1813.02,
1989-01,1881.19,
1989-02,1927.63,
1989-03,2025.44,
1989-04,2074.84,
1989-05,2094.60,
1989-06,2138.08,
1989-07,2150.69,
1989-08,2212.57,
1989-09,2236.52,
1989-10,2296.40,
1989-11,2305.38,
1989-12,2311.37,
1990-01,2347.30,
1990-02,2408.17,
1990-03,2484.02,
1990-04,2521.95,
1990-05,2590.81,
1990-06,2654.68,
1990-07,2669.65,
1990-08,2689.61,
1990-09,2733.52,
1990-10,2775.44,
1990-11,2811.37,
1990-12,2927.13,
1991-01,3041.90,
1991-02,3330.33,
1991-03,3700.58,
1991-04,3953.08,
1991-05,4050.88,
1991-06,4330.32,
1991-07,4395.19,
1991-08,4591.80,
1991-09,4718.54,
1991-10,4924.13,
1991-11,5062.85,
1991-12,5074.83,
1992-01,5486.01,
1992-02,5867.24,
1992-03,6241.49,
1992-04,6593.79,
1992-05,6820.33,
1992-06,6868.24,
1992-07,7058.85,
1992-08,7050.87,
1992-09,7317.34,
1992-10,7871.23,
1992-11,8281.40,
1992-12,8555.85,
1993-01,8814.34,
1993-02,9185.59,
1993-03,9451.06,
1993-04,9649.66,
1993-05,10123.71,
1993-06,10860.24,
1993-07,11531.89,
1993-08,11746.46,
1993-09,12081.79,
1993-10,12967.01,
1993-11,13723.50,
1993-12,14458.03,
1994-01,17203.52,comment
1994-02,18260.41,
1994-03,22137.64,
1994-04,33408.05,comment
1994-05,31730.41,
1994-06,31163.55,
1994-07,30955.96,
1994-08,32950.97,
1994-09,34016.83,
