"",BBFB1.Q.N.DE.A2.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:34,
1991-01,970.064,
1991-04,122.169,
1991-07,682.288,
1991-10,914.401,
1992-01,1466.197,
1992-04,1134.216,
1992-07,1487.395,
1992-10,2010.623,
1993-01,1160.318,
1993-04,1359.988,
1993-07,1116.295,
1993-10,1289.459,
1994-01,163.564,
1994-04,74.273,
1994-07,-68.344,
1994-10,-56.950,
1995-01,119.358,
1995-04,790.429,
1995-07,230.335,
1995-10,555.806,
1996-01,1298.341,
1996-04,752.356,
1996-07,996.842,
1996-10,956.331,
1997-01,1201.905,
1997-04,587.611,
1997-07,996.743,
1997-10,629.720,
1998-01,1287.730,
1998-04,1004.484,
1998-07,832.264,
1998-10,765.099,
1999-01,-618.354,
1999-04,1353.928,
1999-07,286.026,
1999-10,-138.386,
2000-01,693.457,
2000-04,34.509,
2000-07,291.138,
2000-10,-557.432,
2001-01,-916.817,
2001-04,-1213.879,
2001-07,-881.436,
2001-10,-601.121,
2002-01,-302.976,
2002-04,-972.073,
2002-07,-650.562,
2002-10,-864.526,
2003-01,-214.710,
2003-04,-298.827,
2003-07,-46.802,
2003-10,-54.416,
2004-01,3674.702,
2004-04,2891.518,
2004-07,3781.710,
2004-10,4073.471,
2005-01,2497.000,
2005-04,1605.374,
2005-07,2841.799,
2005-10,2939.439,
2006-01,3344.727,
2006-04,1451.992,
2006-07,3111.496,
2006-10,3389.149,
2007-01,1482.174,
2007-04,-1440.421,
2007-07,1420.963,
2007-10,2006.179,
2008-01,-2662.956,
2008-04,92.362,
2008-07,5038.452,
2008-10,2344.552,
2009-01,1409.269,
2009-04,-1321.678,
2009-07,1060.480,
2009-10,641.171,
2010-01,1413.316,
2010-04,-1353.609,
2010-07,1154.661,
2010-10,1273.020,
2011-01,1133.890,
2011-04,-1947.753,
2011-07,1573.077,
2011-10,1618.118,
2012-01,1429.393,
2012-04,-1662.274,
2012-07,1626.933,
2012-10,1759.703,
2013-01,-542.105,
2013-04,-3776.309,
2013-07,-465.555,
2013-10,-371.864,
2014-01,-582.841,Provisional value
2014-04,-3563.818,Provisional value
2014-07,-592.453,Provisional value
