"",BBK01.BJ9066,BBK01.BJ9066_FLAGS
"",General government debt as defined in the Maastricht Treaty - Germany - state government,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:17,
1991,198005,
1992,216752,
1993,239503,
1994,258172,
1995,278640,
1996,302273,
1997,320960,
1998,335026,
1999,344528,
2000,353487,
2001,379503,
2002,407552,
2003,440006,
2004,464403,
2005,486389,
2006,497779,
2007,501669,
2008,539117,
2009,581287,
2010,628029,Provisional value
2011,642817,Provisional value
2012,671541,Provisional value
2013,652466,Provisional value
