"",BBK01.OEAE14R,BBK01.OEAE14R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:37,
2002-01,0.097,
2002-04,0.096,
2002-07,0.079,
2002-10,0.097,
2003-01,0.092,
2003-04,0.084,
2003-07,0.080,
2003-10,0.083,
2004-01,0.087,
2004-04,0.086,
2004-07,0.080,
2004-10,0.086,
2005-01,0.079,
2005-04,0.083,
2005-07,0.078,
2005-10,0.077,
2006-01,0.085,
2006-04,0.086,
2006-07,0.066,
2006-10,0.064,
2007-01,0.071,
2007-04,0.067,
2007-07,0.061,
2007-10,0.070,
2008-01,0.086,
2008-04,0.082,
2008-07,0.066,
2008-10,0.074,
2009-01,0.078,
2009-04,0.082,
2009-07,0.065,
2009-10,0.071,
2010-01,0.097,
2010-04,0.096,
2010-07,0.076,
2010-10,0.084,
2011-01,0.091,
2011-04,0.088,
2011-07,0.073,
2011-10,0.086,
2012-01,0.095,
2012-04,0.089,
2012-07,0.074,
2012-10,0.085,
2013-01,0.110,
2013-04,0.102,
2013-07,0.077,
2013-10,0.093,
2014-01,0.096,
2014-04,0.087,
2014-07,0.073,
