"",BBK01.OEYB24S,BBK01.OEYB24S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:38,
2002-01,1.777,
2002-04,1.738,
2002-07,1.752,
2002-10,1.843,
2003-01,1.888,
2003-04,1.920,
2003-07,1.961,
2003-10,2.112,
2004-01,2.041,
2004-04,2.086,
2004-07,2.123,
2004-10,2.630,
2005-01,2.630,
2005-04,2.636,
2005-07,2.630,
2005-10,2.607,
2006-01,2.617,
2006-04,2.647,
2006-07,2.691,
2006-10,2.647,
2007-01,2.761,
2007-04,2.853,
2007-07,2.956,
2007-10,2.902,
2008-01,2.988,
2008-04,3.079,
2008-07,3.173,
2008-10,3.159,
2009-01,3.190,
2009-04,3.199,
2009-07,3.205,
2009-10,3.155,
2010-01,3.219,
2010-04,3.263,
2010-07,3.242,
2010-10,3.122,
2011-01,3.127,
2011-04,3.195,
2011-07,3.187,
2011-10,3.168,
2012-01,3.120,
2012-04,3.172,
2012-07,3.143,
2012-10,3.197,
2013-01,3.092,
2013-04,3.075,
2013-07,3.045,
2013-10,2.962,
2014-01,2.899,
2014-04,2.853,
2014-07,2.855,
