"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.US.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.US.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / United States,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:21,
2009-09,44340,
2009-10,44084,
2009-11,44502,
2009-12,45456,
2010-01,46209,
2010-02,46031,
2010-03,46182,
2010-04,47099,
2010-05,48602,
2010-06,48736,
2010-07,47491,
2010-08,49343,
2010-09,48130,
2010-10,48170,
2010-11,49172,
2010-12,48121,
2011-01,47489,
2011-02,47479,
2011-03,46085,
2011-04,44845,
2011-05,45449,
2011-06,44695,
2011-07,45112,
2011-08,44148,
2011-09,44619,
2011-10,43899,
2011-11,44070,
2011-12,45924,
2012-01,46496,
2012-02,46379,
2012-03,46177,
2012-04,47255,
2012-05,49632,
2012-06,49317,
2012-07,51208,
2012-08,51163,
2012-09,51434,
2012-10,51897,
2012-11,53474,
2012-12,53302,
2013-01,52743,
2013-02,54996,
2013-03,56151,
2013-04,56960,
2013-05,56905,
2013-06,55880,
2013-07,57970,
2013-08,58394,
2013-09,58574,
2013-10,58802,
2013-11,62732,
2013-12,62861,
2014-01,64392,
2014-02,61927,
2014-03,62705,
2014-04,63171,
2014-05,64848,
2014-06,66546,
2014-07,67822,
2014-08,70238,
2014-09,74685,
2014-10,76632,
2014-11,79982,
