"",BBFN1.M.DE.N.1.L.VN.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.VN.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Vietnam,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:06,
1995-01,0.007,
1995-02,0.007,
1995-03,0.006,
1995-04,0.006,
1995-05,0.007,
1995-06,0.011,
1995-07,0.012,
1995-08,0.014,
1995-09,0.016,
1995-10,0.013,
1995-11,0.019,
1995-12,0.021,
1996-01,0.022,
1996-02,0.028,
1996-03,0.029,
1996-04,0.028,
1996-05,0.030,
1996-06,0.030,
1996-07,0.028,
1996-08,0.023,
1996-09,0.023,
1996-10,0.026,
1996-11,0.022,
1996-12,0.026,
1997-01,0.023,
1997-02,0.022,
1997-03,0.029,
1997-04,0.031,
1997-05,0.033,
1997-06,0.034,
1997-07,0.036,
1997-08,0.041,
1997-09,0.037,
1997-10,0.037,
1997-11,0.042,
1997-12,0.043,
1998-01,0.050,
1998-02,0.052,
1998-03,0.057,
1998-04,0.061,
1998-05,0.066,
1998-06,0.041,
1998-07,0.044,
1998-08,0.058,
1998-09,0.052,
1998-10,0.053,
1998-11,0.080,
1998-12,0.079,
1999-01,0.076,
1999-02,0.090,
1999-03,0.058,
1999-04,0.039,
1999-05,0.033,
1999-06,0.039,
1999-07,0.035,
1999-08,0.033,
1999-09,0.024,
1999-10,0.024,
1999-11,0.029,
1999-12,0.022,
2000-01,0.037,
2000-02,0.039,
2000-03,0.037,
2000-04,0.040,
2000-05,0.043,
2000-06,0.042,
2000-07,0.048,
2000-08,0.045,
2000-09,0.045,
2000-10,0.045,
2000-11,0.046,
2000-12,0.038,
2001-01,0.037,
2001-02,0.035,
2001-03,0.052,
2001-04,0.069,
2001-05,0.065,
2001-06,0.091,
2001-07,0.035,
2001-08,0.091,
2001-09,0.094,
2001-10,0.096,
2001-11,0.103,
2001-12,0.094,
2002-01,0.100,
2002-02,0.100,
2002-03,0.122,
2002-04,0.045,
2002-05,0.127,
2002-06,0.132,
2002-07,0.139,
2002-08,0.138,
2002-09,0.146,
2002-10,0.155,
2002-11,0.159,
2002-12,0.174,
2003-01,0.264,
2003-02,0.268,
2003-03,0.267,
2003-04,0.296,
2003-05,0.304,
2003-06,0.304,
2003-07,0.302,
2003-08,0.311,
2003-09,0.314,
2003-10,0.329,
2003-11,0.325,
2003-12,0.328,
2004-01,0.328,
2004-02,0.343,
2004-03,0.086,
2004-04,0.092,
2004-05,0.097,
2004-06,0.110,
2004-07,0.109,
2004-08,0.106,
2004-09,0.105,
2004-10,0.102,
2004-11,0.104,
2004-12,0.126,
2005-01,0.109,
2005-02,0.110,
2005-03,0.129,
2005-04,0.129,
2005-05,0.131,
2005-06,0.135,
2005-07,0.138,
2005-08,0.136,
2005-09,0.150,
2005-10,0.151,
2005-11,0.173,
2005-12,0.198,
2006-01,0.188,
2006-02,0.203,
2006-03,0.218,
2006-04,0.218,
2006-05,0.257,
2006-06,0.262,
2006-07,0.294,
2006-08,0.260,
2006-09,0.297,
2006-10,0.298,
2006-11,0.316,
2006-12,0.315,
2007-01,0.336,
2007-02,0.372,
2007-03,0.395,
2007-04,0.390,
2007-05,0.432,
2007-06,0.360,
2007-07,0.381,
2007-08,0.389,
2007-09,0.387,
2007-10,0.384,
2007-11,0.394,
2007-12,0.395,
2008-01,0.406,
2008-02,0.408,
2008-03,0.415,
2008-04,0.412,
2008-05,0.415,
2008-06,0.432,
2008-07,0.441,
2008-08,0.361,
2008-09,0.374,
2008-10,0.380,
2008-11,0.371,
2008-12,0.218,
2009-01,0.212,
2009-02,0.224,
2009-03,0.237,
2009-04,0.250,
2009-05,0.188,
2009-06,0.184,
2009-07,0.207,
2009-08,0.197,
2009-09,0.212,
2009-10,0.209,
2009-11,0.251,
2009-12,0.249,
2010-01,0.266,
2010-02,0.265,
2010-03,0.268,
2010-04,0.271,
2010-05,0.281,
2010-06,0.330,
2010-07,0.341,
2010-08,0.412,
2010-09,0.425,
2010-10,0.433,
2010-11,0.427,
2010-12,0.458,
2011-01,0.484,
2011-02,0.477,
2011-03,0.350,
2011-04,0.370,
2011-05,0.419,
2011-06,0.426,
2011-07,0.430,
2011-08,0.454,
2011-09,0.407,
2011-10,0.279,
2011-11,0.286,
2011-12,0.273,
2012-01,0.271,
2012-02,0.283,
2012-03,0.297,
2012-04,0.293,
2012-05,0.255,
2012-06,0.266,
2012-07,0.276,
2012-08,0.278,
2012-09,0.256,
2012-10,0.262,
2012-11,0.292,
2012-12,0.281,
2013-01,0.288,
2013-02,0.313,
2013-03,0.325,
2013-04,0.313,
2013-05,0.310,
2013-06,0.318,
2013-07,0.319,
2013-08,0.330,
2013-09,0.308,
2013-10,0.347,
2013-11,0.359,
2013-12,0.353,
2014-01,0.370,
2014-02,0.358,
2014-03,0.319,
2014-04,0.332,
2014-05,0.342,
2014-06,0.356,
2014-07,0.346,
2014-08,0.354,
2014-09,0.360,
2014-10,0.371,
2014-11,0.385,
2014-12,0.383,
