"",BBK01.OEXB09S,BBK01.OEXB09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:03,
2002-01,2.475,
2002-04,2.458,
2002-07,2.376,
2002-10,2.453,
2003-01,2.469,
2003-04,2.532,
2003-07,2.545,
2003-10,2.558,
2004-01,2.566,
2004-04,2.585,
2004-07,2.605,
2004-10,2.677,
2005-01,2.690,
2005-04,2.723,
2005-07,2.709,
2005-10,2.755,
2006-01,2.802,
2006-04,2.792,
2006-07,2.839,
2006-10,2.863,
2007-01,2.925,
2007-04,2.923,
2007-07,3.039,
2007-10,3.187,
2008-01,3.226,
2008-04,3.217,
2008-07,3.257,
2008-10,3.355,
2009-01,3.414,
2009-04,3.451,
2009-07,3.518,
2009-10,3.550,
2010-01,3.559,
2010-04,3.590,
2010-07,3.737,
2010-10,3.868,
2011-01,3.926,
2011-04,4.012,
2011-07,4.131,
2011-10,4.287,
2012-01,4.313,
2012-04,4.380,
2012-07,4.406,
2012-10,4.480,
2013-01,4.487,
2013-04,4.495,
2013-07,4.564,
2013-10,4.553,
2014-01,4.571,
2014-04,4.496,
2014-07,4.576,
