"",BBEX3.M.HNL.USD.CA.AC.A01,BBEX3.M.HNL.USD.CA.AC.A01_FLAGS
2011-05,18.96105,
2011-06,18.96120,
2011-07,18.84845,
2011-08,18.95205,
2011-09,19.02780,
2011-10,19.08500,
2011-11,19.03585,
2011-12,19.11520,
2012-01,19.18780,
2012-02,19.26640,
2012-03,19.34520,
2012-04,19.40380,
2012-05,19.48430,
2012-06,19.56065,
2012-07,19.64190,
2012-08,19.72660,
2012-09,19.80090,
2012-10,19.87490,
2012-11,19.95690,
2012-12,20.03215,
2013-01,20.11080,
2013-02,20.18385,
2013-03,20.25105,
2013-04,20.32680,
2013-05,20.41095,
2013-06,20.48775,
2013-07,20.53455,
2013-08,20.54585,
2013-09,20.61500,
2013-10,20.61175,
2013-11,20.65750,
2013-12,20.66960,
2014-01,20.71805,
2014-02,20.76190,
2014-03,20.82370,
2014-04,20.87695,
2014-05,20.93315,
2014-06,21.04540,
2014-07,21.05315,
2014-08,21.17900,
2014-09,21.31110,
2014-10,21.37925,
2014-11,21.49925,
2014-12,21.58770,
2015-01,21.78570,
"","General: Until 25 March 1991, an exchange rate of USD 1 = HNL 2 applied to the servicing of government debt.",
"","Source: Since March 2003: Banco Central de Honduras, Tegucigalpa 1991 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
"",Comment on 1992-06: Exchange rate on 19 June 1992.,
"",Comment on 1994-03: Exchange rate on 25 March 1994.,
"",Comment on 1998-06: Exchange rate on 26 June 1998.,
"",Comment on 1998-08: Exchange rate on 28 August 1998.,
"",Comment on 1998-10: Exchange rate on 6 November 1998.,
"",Comment on 2000-01: Exchange rate on 21 January 2000.,
