"",BBFN1.M.DE.N.1.A.B0.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1988-02,0.344,
1988-03,0.320,
1988-04,0.322,
1988-05,0.299,
1988-06,0.292,
1988-07,0.298,
1988-08,0.314,
1988-09,0.309,
1988-10,0.296,
1988-11,0.295,
1988-12,0.250,
1989-01,0.246,
1989-02,0.245,
1989-03,0.247,
1989-04,0.240,
1989-05,0.260,
1989-06,0.271,
1989-07,0.264,
1989-08,0.268,
1989-09,0.277,
1989-10,0.306,
1989-11,0.353,
1989-12,0.368,
1990-01,0.445,
1990-02,0.437,
1990-03,0.427,
1990-04,0.439,
1990-05,0.528,
1990-06,0.609,
1990-07,0.800,
1990-08,0.824,
1990-09,0.826,
1990-10,0.799,
1990-11,0.807,
1990-12,0.658,
1991-01,0.706,
1991-02,0.695,
1991-03,0.688,
1991-04,0.823,
1991-05,0.830,
1991-06,0.775,
1991-07,0.867,
1991-08,0.871,
1991-09,0.857,
1991-10,0.824,
1991-11,0.852,
1991-12,0.866,
1992-01,0.889,
1992-02,0.739,
1992-03,0.690,
1992-04,0.691,
1992-05,0.675,
1992-06,0.644,
1992-07,0.586,
1992-08,0.602,
1992-09,0.602,
1992-10,0.570,
1992-11,0.676,
1992-12,0.678,
1993-01,0.548,
1993-02,0.504,
1993-03,0.450,
1993-04,0.446,
1993-05,0.439,
1993-06,0.438,
1993-07,0.423,
1993-08,0.673,
1993-09,0.665,
1993-10,0.692,
1993-11,0.802,
1993-12,0.802,
1994-01,0.741,
1994-02,0.729,
1994-03,0.748,
1994-04,0.681,
1994-05,0.465,
1994-06,0.469,
1994-07,0.579,
1994-08,0.610,
1994-09,0.693,
1994-10,0.699,
1994-11,0.736,
1994-12,0.718,
1995-01,0.723,
1995-02,0.924,
1995-03,0.895,
1995-04,0.910,
1995-05,0.891,
1995-06,1.129,
1995-07,1.118,
1995-08,1.344,
1995-09,2.246,
1995-10,2.263,
1995-11,2.262,
1995-12,1.959,
1996-01,1.953,
1996-02,1.833,
1996-03,1.784,
1996-04,1.788,
1996-05,1.786,
1996-06,1.770,
1996-07,1.783,
1996-08,1.793,
1996-09,1.764,
1996-10,1.762,
1996-11,3.276,
1996-12,3.242,
1997-01,3.263,
1997-02,3.281,
1997-03,3.293,
1997-04,3.301,
1997-05,3.329,
1997-06,3.304,
1997-07,3.335,
1997-08,3.300,
1997-09,3.301,
1997-10,3.331,
1997-11,3.361,
1997-12,3.258,
1998-01,3.356,
1998-02,3.362,
1998-03,3.402,
1998-04,3.434,
1998-05,2.725,
1998-06,2.721,
1998-07,2.878,
1998-08,2.884,
1998-09,2.859,
1998-10,3.083,
1998-11,2.165,
1998-12,2.704,
1999-01,2.882,
1999-02,3.095,
1999-03,3.158,
1999-04,3.269,
1999-05,3.229,
1999-06,4.688,
1999-07,4.721,
1999-08,4.733,
1999-09,3.937,
1999-10,4.019,
1999-11,3.895,
1999-12,3.941,
2000-01,3.991,
2000-02,4.123,
2000-03,4.389,
2000-04,4.635,
2000-05,4.699,
2000-06,4.062,
2000-07,3.981,
2000-08,4.176,
2000-09,4.188,
2000-10,4.245,
2000-11,4.336,
2000-12,3.050,
2001-01,3.060,
2001-02,3.058,
2001-03,3.095,
2001-04,3.128,
2001-05,3.390,
2001-06,3.381,
2001-07,3.404,
2001-08,3.540,
2001-09,3.572,
2001-10,4.177,
2001-11,4.203,
2001-12,4.265,
2002-01,4.383,
2002-02,4.320,
2002-03,4.459,
2002-04,4.463,
2002-05,4.519,
2002-06,4.554,
2002-07,4.565,
2002-08,4.555,
2002-09,4.406,
2002-10,4.486,
2002-11,4.410,
2002-12,4.489,
2003-01,4.870,
2003-02,5.074,
2003-03,5.190,
2003-04,5.727,
2003-05,5.901,
2003-06,6.325,
2003-07,6.508,
2003-08,6.321,
2003-09,6.435,
2003-10,6.775,
2003-11,6.650,
2003-12,7.103,
2004-01,7.354,
2004-02,7.462,
2004-03,7.830,
2004-04,8.269,
2004-05,8.675,
2004-06,8.633,
2004-07,9.070,
2004-08,9.275,
2004-09,9.909,
2004-10,10.229,
2004-11,10.561,
2004-12,10.875,
2005-01,11.137,
2005-02,11.750,
2005-03,12.063,
2005-04,12.582,
2005-05,12.662,
2005-06,13.605,
2005-07,13.493,
2005-08,13.382,
2005-09,13.659,
2005-10,13.895,
2005-11,14.414,
2005-12,14.872,
2006-01,15.946,
2006-02,17.523,
2006-03,18.696,
2006-04,19.845,
2006-05,20.431,
2006-06,22.934,
2006-07,24.110,
2006-08,26.790,
2006-09,27.907,
2006-10,29.970,
2006-11,31.924,
2006-12,34.417,
2007-01,36.934,
2007-02,38.762,
2007-03,42.912,
2007-04,46.657,
2007-05,50.382,
2007-06,53.206,
2007-07,54.567,
2007-08,57.466,
2007-09,61.778,
2007-10,68.523,
2007-11,76.138,
2007-12,76.763,
2008-01,78.858,
2008-02,82.267,
2008-03,80.723,
2008-04,83.213,
2008-05,85.341,
2008-06,84.368,
2008-07,88.587,
2008-08,89.370,
2008-09,91.292,
2008-10,95.899,
2008-11,97.498,
2008-12,89.968,
2009-01,89.124,
2009-02,89.740,
2009-03,90.186,
2009-04,93.055,
2009-05,94.244,
2009-06,86.622,
2009-07,92.591,
2009-08,98.268,
2009-09,98.195,
2009-10,103.577,
2009-11,107.907,
2009-12,102.521,
2010-01,105.902,
2010-02,111.393,
2010-03,110.564,
2010-04,118.287,
2010-05,119.251,
2010-06,117.813,
2010-07,124.040,
2010-08,130.601,
2010-09,130.670,
2010-10,135.451,
2010-11,140.133,
2010-12,138.565,
2011-01,144.643,
2011-02,139.238,
2011-03,136.984,
2011-04,138.869,
2011-05,144.304,
2011-06,137.793,
2011-07,140.580,
2011-08,139.664,
2011-09,136.089,
2011-10,123.576,
2011-11,120.887,
2011-12,113.346,
2012-01,114.151,
2012-02,115.033,
2012-03,113.410,
2012-04,114.409,
2012-05,115.091,
2012-06,110.798,
2012-07,112.220,
2012-08,113.185,
2012-09,112.439,
2012-10,113.552,
2012-11,114.411,
2012-12,113.525,
2013-01,111.433,
2013-02,112.385,
2013-03,113.335,
2013-04,113.714,
2013-05,115.239,
2013-06,113.589,
2013-07,114.565,
2013-08,115.774,
2013-09,117.682,
2013-10,118.379,
2013-11,119.375,
2013-12,121.081,
2014-01,119.979,
2014-02,120.368,
2014-03,121.308,
2014-04,122.595,
2014-05,125.522,
2014-06,126.180,
2014-07,125.597,
2014-08,126.556,
2014-09,126.644,
2014-10,126.327,
2014-11,126.353,
2014-12,126.214,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
