"",BBK01.OEBB14J,BBK01.OEBB14J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:02,
2002-01,0.162,
2002-04,0.159,
2002-07,0.147,
2002-10,0.147,
2003-01,0.125,
2003-04,0.120,
2003-07,0.121,
2003-10,0.114,
2004-01,0.118,
2004-04,0.110,
2004-07,0.103,
2004-10,0.109,
2005-01,0.109,
2005-04,0.110,
2005-07,0.105,
2005-10,0.098,
2006-01,0.092,
2006-04,0.092,
2006-07,0.092,
2006-10,0.082,
2007-01,0.076,
2007-04,0.072,
2007-07,0.070,
2007-10,0.074,
2008-01,0.078,
2008-04,0.072,
2008-07,0.072,
2008-10,0.077,
2009-01,0.071,
2009-04,0.068,
2009-07,0.067,
2009-10,0.068,
2010-01,0.068,
2010-04,0.066,
2010-07,0.067,
2010-10,0.068,
2011-01,0.070,
2011-04,0.069,
2011-07,0.055,
2011-10,0.056,
2012-01,0.055,
2012-04,0.052,
2012-07,0.050,
2012-10,0.054,
2013-01,0.051,
2013-04,0.049,
2013-07,0.049,
2013-10,0.050,
2014-01,0.049,
2014-04,0.045,
2014-07,0.053,
