"",BBEX3.M.SDG.EUR.CA.AA.A01,BBEX3.M.SDG.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Sudan / EUR 1 = SDG ... (buying),
unit,SDG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:44,
2007-07,2.7341,comment
2007-08,2.7275,
2007-09,2.9007,
2007-10,2.9222,
2007-11,2.9867,
2007-12,3.0154,
2008-01,3.0065,
2008-02,3.0209,
2008-03,3.1991,
2008-04,3.1637,
2008-05,3.1774,
2008-06,3.1979,
2008-07,3.2478,
2008-08,3.2355,
2008-09,3.2200,
2008-10,2.8329,
2008-11,2.8429,
2008-12,3.0891,
2009-01,2.9166,
2009-02,2.8909,
2009-03,3.0569,
2009-04,3.1222,
2009-05,3.3249,
2009-06,3.3446,
2009-07,3.3981,
2009-08,3.4810,
2009-09,3.3695,
2009-10,3.3613,
2009-11,3.3566,
2009-12,3.2115,
2010-01,3.0948,
2010-02,3.0362,
2010-03,2.9858,
2010-04,2.9398,
2010-05,2.7879,
2010-06,2.8913,
2010-07,3.0885,
2010-08,2.9984,
2010-09,3.2193,
2010-10,3.3096,
2010-11,3.1590,
2010-12,3.3064,
2011-01,3.4057,
2011-02,3.6966,
2011-03,3.9493,
2011-04,3.9693,
2011-05,3.8414,
2011-06,3.8763,
2011-07,3.8443,
2011-08,3.8782,
2011-09,3.6352,
2011-10,3.7404,
2011-11,3.5591,
2011-12,3.4502,
2012-01,3.5217,
2012-02,3.5989,
2012-03,3.5412,
2012-04,3.5377,
2012-05,3.3041,
2012-06,5.4980,comment
2012-07,5.3999,
2012-08,5.5151,
2012-09,5.6554,
2012-10,5.7003,
2012-11,5.6981,
2012-12,5.8098,
2013-01,5.9690,
2013-02,5.7812,
2013-03,5.6396,
2013-04,5.7601,
2013-05,5.7011,
2013-06,5.7227,
2013-07,5.8313,
2013-08,5.8647,
2013-09,7.6578,comment
2013-10,7.7764,
2013-11,7.7150,
2013-12,7.8389,
2014-01,7.7565,
2014-02,7.7764,
2014-03,7.8105,
2014-04,7.8457,
2014-05,7.7310,
2014-06,7.7554,
2014-07,7.6497,
2014-08,7.4616,
2014-09,7.2139,
2014-10,7.1707,
2014-11,7.2811,
2014-12,7.2459,
2015-01,6.7133,
"","General: Listed in SDD until June 2007; see BBEX2:M:SDD:EUR:CA:AA:A01. The Sudanese pound (SDG) has been in circulation since 10 January 2007, when it was introduced at a rate of SDD 100 = SDG 1. The SDD remained legal tender alongside the SDG until 30 June 2007.",
"","Source: Central Bank of Sudan (Bank of Sudan), Khartoum",
"",Comment on 2007-07: Listed in SDD until June 2007; see BBEX2:M:SDD:EUR:CA:AA:A01.,
"",Comment on 2012-06: The Sudanese pound was devalued on 25 June 2012. We recorded the following exchange rates (buying/selling): 24 June 2012: EUR 1 = SDG 3.3570 / 3.3738 25 June 2012: EUR 1 = SDG 5.5414 / 5.5691 Calculated devaluation: 39.4%.,
"",Comment on 2013-09: The Sudanese pound was devalued on 24 September 2013. We recorded the following exchange rates (buying/selling): 23 September 2013: EUR 1 = SDG 5.9487 / 5.9785 24 September 2013: EUR 1 = SDG 7.6533 / 7.6916 Calculated devaluation: 22.3%.,
