"",BBK01.OELL06J,BBK01.OELL06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:13,
2002-01,0.149,
2002-04,0.143,
2002-07,0.140,
2002-10,0.122,
2003-01,0.114,
2003-04,0.110,
2003-07,0.110,
2003-10,0.106,
2004-01,0.114,
2004-04,0.118,
2004-07,0.121,
2004-10,0.125,
2005-01,0.116,
2005-04,0.105,
2005-07,0.101,
2005-10,0.096,
2006-01,0.102,
2006-04,0.104,
2006-07,0.120,
2006-10,0.145,
2007-01,0.169,
2007-04,0.184,
2007-07,0.205,
2007-10,0.209,
2008-01,0.228,
2008-04,0.241,
2008-07,0.262,
2008-10,0.248,
2009-01,0.206,
2009-04,0.175,
2009-07,0.139,
2009-10,0.140,
2010-01,0.132,
2010-04,0.117,
2010-07,0.090,
2010-10,0.106,
2011-01,0.110,
2011-04,0.106,
2011-07,0.105,
2011-10,0.111,
2012-01,0.092,
2012-04,0.074,
2012-07,0.071,
2012-10,0.077,
2013-01,0.044,
2013-04,0.033,
2013-07,0.031,
2013-10,0.032,
2014-01,0.021,
2014-04,0.021,
2014-07,0.019,
