"",BBK01.OELL08M,BBK01.OELL08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:28,
2002-01,12.486,
2002-04,12.441,
2002-07,12.408,
2002-10,12.805,
2003-01,13.023,
2003-04,12.967,
2003-07,13.052,
2003-10,13.286,
2004-01,13.292,
2004-04,13.281,
2004-07,13.193,
2004-10,13.490,
2005-01,13.357,
2005-04,13.314,
2005-07,13.207,
2005-10,13.357,
2006-01,13.225,
2006-04,13.049,
2006-07,12.760,
2006-10,12.678,
2007-01,12.219,
2007-04,11.905,
2007-07,11.520,
2007-10,11.511,
2008-01,11.220,
2008-04,11.014,
2008-07,10.728,
2008-10,10.949,
2009-01,11.157,
2009-04,11.247,
2009-07,11.164,
2009-10,11.610,
2010-01,11.920,
2010-04,12.112,
2010-07,12.371,
2010-10,12.807,
2011-01,13.062,
2011-04,13.146,
2011-07,13.136,
2011-10,13.551,
2012-01,13.304,
2012-04,13.337,
2012-07,13.187,
2012-10,13.330,
2013-01,13.310,
2013-04,13.324,
2013-07,13.357,
2013-10,13.561,
2014-01,13.632,
2014-04,13.635,
2014-07,13.627,
