"",BBK01.OEAA20G,BBK01.OEAA20G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:28,
2002-01,0.824,
2002-04,0.790,
2002-07,0.777,
2002-10,0.701,
2003-01,0.683,
2003-04,0.685,
2003-07,0.691,
2003-10,0.624,
2004-01,0.573,
2004-04,0.577,
2004-07,0.525,
2004-10,0.462,
2005-01,0.498,
2005-04,0.503,
2005-07,0.448,
2005-10,0.384,
2006-01,0.371,
2006-04,0.347,
2006-07,0.328,
2006-10,0.283,
2007-01,0.288,
2007-04,0.297,
2007-07,0.272,
2007-10,0.227,
2008-01,0.225,
2008-04,0.202,
2008-07,0.179,
2008-10,0.187,
2009-01,0.164,
2009-04,0.133,
2009-07,0.125,
2009-10,0.142,
2010-01,0.115,
2010-04,0.097,
2010-07,0.094,
2010-10,0.100,
2011-01,0.115,
2011-04,0.103,
2011-07,0.112,
2011-10,0.155,
2012-01,0.103,
2012-04,0.093,
2012-07,0.087,
2012-10,0.122,
2013-01,0.065,
2013-04,0.078,
2013-07,0.060,
2013-10,0.086,
2014-01,0.063,
2014-04,0.078,
2014-07,0.049,
