"",BBK01.OEXB22R,BBK01.OEXB22R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:54,
2002-01,0.033,
2002-04,0.044,
2002-07,0.048,
2002-10,0.046,
2003-01,0.038,
2003-04,0.064,
2003-07,0.067,
2003-10,0.085,
2004-01,0.083,
2004-04,0.091,
2004-07,0.079,
2004-10,0.059,
2005-01,0.077,
2005-04,0.067,
2005-07,0.078,
2005-10,0.052,
2006-01,0.062,
2006-04,0.058,
2006-07,0.059,
2006-10,0.091,
2007-01,0.076,
2007-04,0.059,
2007-07,0.047,
2007-10,0.041,
2008-01,0.041,
2008-04,0.042,
2008-07,0.035,
2008-10,0.032,
2009-01,0.027,
2009-04,0.026,
2009-07,0.023,
2009-10,0.017,
2010-01,0.018,
2010-04,0.031,
2010-07,0.028,
2010-10,0.029,
2011-01,0.021,
2011-04,0.025,
2011-07,0.034,
2011-10,0.023,
2012-01,0.024,
2012-04,0.024,
2012-07,0.029,
2012-10,0.036,
2013-01,0.048,
2013-04,0.042,
2013-07,0.065,
2013-10,0.083,
2014-01,0.087,
2014-04,0.084,
2014-07,0.109,
