"",BBK01.OEXL07S,BBK01.OEXL07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:30,
2002-01,0.608,
2002-04,0.582,
2002-07,0.573,
2002-10,0.572,
2003-01,0.539,
2003-04,0.517,
2003-07,0.502,
2003-10,0.497,
2004-01,0.468,
2004-04,0.446,
2004-07,0.428,
2004-10,0.436,
2005-01,0.457,
2005-04,0.447,
2005-07,0.420,
2005-10,0.429,
2006-01,0.446,
2006-04,0.453,
2006-07,0.451,
2006-10,0.474,
2007-01,0.582,
2007-04,0.625,
2007-07,0.671,
2007-10,0.748,
2008-01,0.797,
2008-04,0.815,
2008-07,0.843,
2008-10,0.966,
2009-01,0.917,
2009-04,0.870,
2009-07,0.859,
2009-10,0.781,
2010-01,0.719,
2010-04,0.703,
2010-07,0.695,
2010-10,0.765,
2011-01,0.830,
2011-04,0.822,
2011-07,0.822,
2011-10,0.810,
2012-01,0.774,
2012-04,0.773,
2012-07,0.759,
2012-10,0.720,
2013-01,0.669,
2013-04,0.631,
2013-07,0.623,
2013-10,0.618,
2014-01,0.610,
2014-04,0.592,
2014-07,0.639,
