"",BBFB1.Q.N.DE.TR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:45,
1991-01,104.340,
1991-04,202.989,
1991-07,7.801,
1991-10,194.492,
1992-01,30.828,
1992-04,79.048,
1992-07,146.535,
1992-10,164.913,
1993-01,64.143,
1993-04,364.225,
1993-07,752.039,
1993-10,845.975,
1994-01,-461.209,
1994-04,-285.955,
1994-07,-252.009,
1994-10,184.157,
1995-01,130.808,
1995-04,-75.816,
1995-07,665.342,
1995-10,-38.931,
1996-01,427.446,
1996-04,388.300,
1996-07,164.876,
1996-10,390.342,
1997-01,312.776,
1997-04,875.355,
1997-07,336.111,
1997-10,949.164,
1998-01,1113.178,
1998-04,811.799,
1998-07,-33.510,
1998-10,161.968,
1999-01,1040.846,
1999-04,186.868,
1999-07,828.433,
1999-10,1047.813,
2000-01,1141.667,
2000-04,1553.501,
2000-07,850.902,
2000-10,611.203,
2001-01,-338.012,
2001-04,-821.739,
2001-07,-115.788,
2001-10,-501.193,
2002-01,-751.895,
2002-04,-654.045,
2002-07,-323.136,
2002-10,-1210.987,
2003-01,-303.591,
2003-04,-416.596,
2003-07,-113.754,
2003-10,487.528,
2004-01,-191.666,
2004-04,96.838,
2004-07,562.512,
2004-10,-677.872,
2005-01,178.354,
2005-04,146.289,
2005-07,136.441,
2005-10,659.291,
2006-01,1084.358,
2006-04,401.779,
2006-07,282.607,
2006-10,-269.570,
2007-01,-119.578,
2007-04,1447.638,
2007-07,1251.174,
2007-10,29.642,
2008-01,1063.753,
2008-04,843.837,
2008-07,685.521,
2008-10,-948.196,
2009-01,-471.801,
2009-04,331.702,
2009-07,-467.509,
2009-10,500.700,
2010-01,108.251,
2010-04,622.248,
2010-07,342.248,
2010-10,834.314,
2011-01,855.226,
2011-04,1426.597,
2011-07,1060.101,
2011-10,444.411,
2012-01,1919.957,
2012-04,-454.111,
2012-07,826.953,
2012-10,1727.670,
2013-01,1325.620,
2013-04,785.958,
2013-07,1778.905,
2013-10,1718.869,
2014-01,807.460,Provisional value
2014-04,2011.783,Provisional value
2014-07,319.081,Provisional value
2014-10,-257.481,Provisional value
