"",BBK01.OECJ05K,BBK01.OECJ05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:37,
2002-01,0.090,
2002-04,0.089,
2002-07,0.087,
2002-10,0.092,
2003-01,0.081,
2003-04,0.081,
2003-07,0.060,
2003-10,0.061,
2004-01,0.058,
2004-04,0.058,
2004-07,0.056,
2004-10,1.618,
2005-01,0.731,
2005-04,0.721,
2005-07,0.677,
2005-10,0.673,
2006-01,0.634,
2006-04,0.889,
2006-07,0.893,
2006-10,0.933,
2007-01,0.940,
2007-04,1.039,
2007-07,1.152,
2007-10,1.166,
2008-01,1.296,
2008-04,1.316,
2008-07,1.347,
2008-10,1.487,
2009-01,1.079,
2009-04,1.177,
2009-07,1.073,
2009-10,1.076,
2010-01,1.076,
2010-04,1.118,
2010-07,1.400,
2010-10,1.377,
2011-01,1.375,
2011-04,1.336,
2011-07,1.024,
2011-10,1.013,
2012-01,1.023,
2012-04,1.284,
2012-07,1.250,
2012-10,1.240,
2013-01,1.225,
2013-04,1.216,
2013-07,1.236,
2013-10,1.211,
2014-01,1.203,
2014-04,1.249,
2014-07,1.252,
