"",BBK01.OEAO02J,BBK01.OEAO02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:15,
2002-01,0.886,
2002-04,0.660,
2002-07,0.631,
2002-10,0.672,
2003-01,0.751,
2003-04,0.639,
2003-07,0.715,
2003-10,0.681,
2004-01,0.806,
2004-04,0.626,
2004-07,0.692,
2004-10,0.717,
2005-01,0.821,
2005-04,0.677,
2005-07,0.616,
2005-10,0.688,
2006-01,0.831,
2006-04,0.704,
2006-07,0.699,
2006-10,0.765,
2007-01,0.942,
2007-04,0.783,
2007-07,0.738,
2007-10,0.777,
2008-01,0.810,
2008-04,0.702,
2008-07,0.660,
2008-10,1.061,
2009-01,1.101,
2009-04,0.702,
2009-07,0.835,
2009-10,0.873,
2010-01,0.640,
2010-04,0.477,
2010-07,0.448,
2010-10,0.536,
2011-01,0.609,
2011-04,0.522,
2011-07,0.491,
2011-10,0.517,
2012-01,0.702,
2012-04,0.518,
2012-07,0.516,
2012-10,0.551,
2013-01,0.598,
2013-04,0.481,
2013-07,0.444,
2013-10,0.474,
2014-01,0.461,
2014-04,0.388,
2014-07,0.411,
