"",BBEX3.M.TND.USD.CA.AC.A01,BBEX3.M.TND.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Tunisia  / USD 1 = TND ... (middle),
unit,TND (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:26,
1966-03,0.52115,
1966-04,.,No value available
1966-05,.,No value available
1966-06,0.52120,
1966-07,0.52105,
1966-08,0.52195,
1966-09,0.52390,
1966-10,0.52545,
1966-11,0.52595,
1966-12,0.52630,
1967-01,0.52630,
1967-02,0.52630,
1967-03,0.52650,
1967-04,0.52570,
1967-05,0.52345,
1967-06,0.52150,
1967-07,0.52110,
1967-08,0.52155,
1967-09,0.52170,
1967-10,0.52130,
1967-11,0.52140,
1967-12,0.52190,
1968-01,0.52295,
1968-02,0.52360,
1968-03,0.52320,
1968-04,0.52480,
1968-05,0.52425,
1968-06,0.52605,
1968-07,0.52585,
1968-08,0.52535,
1968-09,0.52550,
1968-10,0.52590,
1968-11,0.52515,
1968-12,0.52445,
1969-01,0.52460,
1969-02,0.52520,
1969-03,0.52640,
1969-04,0.52600,
1969-05,0.52545,
1969-06,0.52535,
1969-07,0.52640,
1969-08,0.52540,
1969-09,0.52565,
1969-10,0.52575,
1969-11,0.52540,
1969-12,0.52525,
1970-01,0.52575,
1970-02,0.52525,
1970-03,0.52485,
1970-04,0.52470,
1970-05,0.52205,
1970-06,0.52475,
1970-07,0.52480,
1970-08,0.52420,
1970-09,0.52420,
1970-10,0.52470,
1970-11,0.52385,
1970-12,0.52415,
1971-01,0.52380,
1971-02,0.52370,
1971-03,0.52395,
1971-04,0.52375,
1971-05,0.52300,
1971-06,0.52325,
1971-07,0.52310,
1971-08,0.52495,
1971-09,0.52495,
1971-10,0.52495,
1971-11,0.52495,
1971-12,0.49390,
1972-01,0.48070,
1972-02,0.47740,
1972-03,0.47530,
1972-04,0.47600,
1972-05,0.47500,
1972-06,0.47615,
1972-07,0.47615,
1972-08,0.47495,
1972-09,0.47495,
1972-10,0.47780,
1972-11,0.47720,
1972-12,0.48395,
1973-01,0.47410,
1973-02,0.43270,
1973-03,0.42870,
1973-04,0.43100,
1973-05,0.41545,
1973-06,0.39105,
1973-07,0.38645,
1973-08,0.40605,
1973-09,0.39910,
1973-10,0.40185,
1973-11,0.42785,
1973-12,0.44505,
1974-01,0.46975,
1974-02,0.44725,
1974-03,0.42380,
1974-04,0.41875,
1974-05,0.43550,
1974-06,0.43945,
1974-07,0.43200,
1974-08,0.44560,
1974-09,0.44400,
1974-10,0.43210,
1974-11,0.41735,
1974-12,0.40655,
1975-01,0.39170,
1975-02,0.38190,
1975-03,0.39145,
1975-04,0.39005,
1975-05,0.37780,
1975-06,0.38040,
1975-07,0.41215,
1975-08,0.41625,
1975-09,0.43275,
1975-10,0.41295,
1975-11,0.42220,
1975-12,0.42530,
1976-01,0.42400,
1976-02,0.42210,
1976-03,0.42985,
1976-04,0.42700,
1976-05,0.43605,
1976-06,0.43515,
1976-07,0.43585,
1976-08,0.43155,
1976-09,0.42260,
1976-10,0.42140,
1976-11,0.42895,
1976-12,0.43095,
1977-01,0.43545,
1977-02,0.43740,
1977-03,0.43705,
1977-04,0.43195,
1977-05,0.43035,
1977-06,0.42700,
1977-07,0.42290,
1977-08,0.43395,
1977-09,0.43385,
1977-10,0.43075,
1977-11,0.42670,
1977-12,0.41205,
1978-01,0.41840,
1978-02,0.41535,
1978-03,0.41625,
1978-04,0.42340,
1978-05,0.42490,
1978-06,0.42120,
1978-07,0.41645,
1978-08,0.41355,
1978-09,0.41255,
1978-10,0.39505,
1978-11,0.41425,
1978-12,0.40340,
1979-01,0.40765,
1979-02,0.40725,
1979-03,0.40875,
1979-04,0.41125,
1979-05,0.41455,
1979-06,0.40735,
1979-07,0.40600,
1979-08,0.40610,
1979-09,0.39880,
1979-10,0.40530,
1979-11,0.39900,
1979-12,0.39585,
1980-01,0.39760,
1980-02,0.40040,
1980-03,0.41515,
1980-04,0.40350,
1980-05,0.40120,
1980-06,0.39980,
1980-07,0.39920,
1980-08,0.40230,
1980-09,0.40440,
1980-10,0.41095,
1980-11,0.41545,
1980-12,0.41870,
1981-01,0.43265,
1981-02,0.43655,
1981-03,0.45115,
1981-04,0.49085,
1981-05,0.51175,
1981-06,0.51760,
1981-07,0.53495,
1981-08,0.53155,
1981-09,0.51305,
1981-10,0.51335,
1981-11,0.50660,
1981-12,0.51565,
1982-01,0.52785,
1982-02,0.54160,
1982-03,0.56660,
1982-04,0.55810,
1982-05,0.56020,
1982-06,0.60610,
1982-07,0.61645,
1982-08,0.62640,
1982-09,0.63555,
1982-10,0.64110,
1982-11,0.63025,
1982-12,0.61575,
1983-01,0.63315,
1983-02,0.62895,
1983-03,0.65595,
1983-04,0.66280,
1983-05,0.67535,
1983-06,0.68150,
1983-07,0.70100,
1983-08,0.71465,
1983-09,0.70450,
1983-10,0.70370,
1983-11,0.71870,
1983-12,0.72710,
