"",BBK01.OEAB02H,BBK01.OEAB02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:31,
2002-01,74.678,
2002-04,72.327,
2002-07,73.870,
2002-10,69.336,
2003-01,66.989,
2003-04,62.954,
2003-07,62.322,
2003-10,61.097,
2004-01,60.916,
2004-04,56.237,
2004-07,59.037,
2004-10,55.744,
2005-01,56.745,
2005-04,57.826,
2005-07,58.483,
2005-10,51.785,
2006-01,62.602,
2006-04,59.317,
2006-07,63.977,
2006-10,56.391,
2007-01,74.365,
2007-04,68.477,
2007-07,73.469,
2007-10,66.127,
2008-01,80.716,
2008-04,89.271,
2008-07,91.093,
2008-10,67.926,
2009-01,71.986,
2009-04,69.042,
2009-07,65.105,
2009-10,54.184,
2010-01,56.537,
2010-04,60.384,
2010-07,60.911,
2010-10,118.321,
2011-01,93.310,
2011-04,83.191,
2011-07,75.229,
2011-10,63.953,
2012-01,67.295,
2012-04,63.900,
2012-07,70.793,
2012-10,62.993,
2013-01,66.222,
2013-04,63.727,
2013-07,52.573,
2013-10,49.496,
2014-01,49.521,
2014-04,50.945,
2014-07,51.761,
