"",BBK01.OEAC20L,BBK01.OEAC20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:47,
2002-01,7.447,
2002-04,6.783,
2002-07,7.318,
2002-10,7.249,
2003-01,7.451,
2003-04,7.106,
2003-07,6.996,
2003-10,8.210,
2004-01,7.526,
2004-04,7.278,
2004-07,7.504,
2004-10,8.317,
2005-01,7.279,
2005-04,7.408,
2005-07,6.797,
2005-10,7.866,
2006-01,6.215,
2006-04,6.423,
2006-07,6.614,
2006-10,7.374,
2007-01,6.773,
2007-04,7.164,
2007-07,7.562,
2007-10,8.768,
2008-01,7.772,
2008-04,7.593,
2008-07,7.503,
2008-10,7.223,
2009-01,7.399,
2009-04,6.365,
2009-07,6.097,
2009-10,5.696,
2010-01,5.267,
2010-04,4.995,
2010-07,4.867,
2010-10,4.476,
2011-01,5.146,
2011-04,4.969,
2011-07,5.736,
2011-10,6.087,
2012-01,5.748,
2012-04,5.445,
2012-07,6.017,
2012-10,5.743,
2013-01,5.855,
2013-04,5.593,
2013-07,5.754,
2013-10,5.638,
2014-01,5.664,
2014-04,5.442,
2014-07,5.862,
