"",BBK01.OEAH92P,BBK01.OEAH92P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:55,
2002-01,0.262,
2002-04,0.311,
2002-07,0.311,
2002-10,0.289,
2003-01,0.283,
2003-04,0.300,
2003-07,0.349,
2003-10,0.355,
2004-01,0.354,
2004-04,0.354,
2004-07,0.379,
2004-10,0.378,
2005-01,0.378,
2005-04,0.371,
2005-07,0.352,
2005-10,0.304,
2006-01,0.284,
2006-04,0.249,
2006-07,0.228,
2006-10,0.207,
2007-01,0.203,
2007-04,0.204,
2007-07,0.205,
2007-10,0.181,
2008-01,0.184,
2008-04,0.169,
2008-07,0.139,
2008-10,0.078,
2009-01,0.078,
2009-04,0.061,
2009-07,0.035,
2009-10,0.033,
2010-01,0.035,
2010-04,0.034,
2010-07,0.034,
2010-10,0.018,
2011-01,0.018,
2011-04,0.018,
2011-07,0.018,
2011-10,0.020,
2012-01,0.020,
2012-04,0.013,
2012-07,0.012,
2012-10,0.012,
2013-01,0.011,
2013-04,0.005,
2013-07,0.004,
2013-10,0.004,
2014-01,0.003,
2014-04,0.003,
2014-07,0.003,
