"",BBK01.TVE305,BBK01.TVE305_FLAGS
"",Money stock M3 / Money stock M2 / Deposits with an agreed maturity up to 2 years / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:35,
1997-10,8173,
1997-11,-7272,
1997-12,526,
1998-01,10254,
1998-02,-2968,
1998-03,-27248,
1998-04,15779,
1998-05,-2675,
1998-06,-17644,
1998-07,6629,
1998-08,2908,
1998-09,-11465,
1998-10,6917,
1998-11,-2918,
1998-12,19384,
1999-01,-2175,
1999-02,-16540,
1999-03,-2446,
1999-04,-509,
1999-05,-10045,
1999-06,-23729,
1999-07,14614,
1999-08,1927,
1999-09,-13601,
1999-10,11885,
1999-11,-2854,
1999-12,20854,
2000-01,-18219,
2000-02,16746,
2000-03,6458,
2000-04,5182,
2000-05,20758,
2000-06,2644,
2000-07,5320,
2000-08,29496,
2000-09,1042,
2000-10,11246,
2000-11,16623,
2000-12,11761,
2001-01,14924,
2001-02,12731,
2001-03,13678,
2001-04,2231,
2001-05,-3756,
2001-06,-2131,
2001-07,9475,
2001-08,18962,
2001-09,-18337,
2001-10,3252,
2001-11,1835,
2001-12,11039,
2002-01,-6820,
2002-02,-3996,
2002-03,12367,
2002-04,5709,
2002-05,11395,
2002-06,-20043,
2002-07,3668,
2002-08,13686,
2002-09,-23338,
2002-10,20592,
2002-11,-7123,
2002-12,-7171,
2003-01,2518,
2003-02,2390,
2003-03,-5666,
2003-04,10646,
2003-05,19069,
2003-06,-38899,
2003-07,3180,
2003-08,3887,
2003-09,-29487,
2003-10,10518,
2003-11,-4123,
2003-12,467,
2004-01,-23336,
2004-02,-5873,
2004-03,-12244,
2004-04,575,
2004-05,11027,
2004-06,-26114,
2004-07,10639,
2004-08,3383,
2004-09,-8581,
2004-10,27651,
2004-11,-13422,
2004-12,39192,
2005-01,-27773,
2005-02,-5320,
2005-03,4148,
2005-04,16686,
2005-05,-1971,
2005-06,-12412,
2005-07,16892,
2005-08,10714,
2005-09,22377,
2005-10,9586,
2005-11,-3612,
2005-12,38145,
2006-01,-10727,
2006-02,19891,
2006-03,28695,
2006-04,43092,
2006-05,-11262,
2006-06,19095,
2006-07,24317,
2006-08,35145,
2006-09,38331,
2006-10,35670,
2006-11,28976,
2006-12,48443,
2007-01,23181,
2007-02,24336,
2007-03,65012,
2007-04,35398,
2007-05,33610,
2007-06,32450,
2007-07,64298,
2007-08,70483,
2007-09,32722,
2007-10,105435,
2007-11,27198,
2007-12,68908,
2008-01,30338,
2008-02,77217,
2008-03,20301,
2008-04,95623,
2008-05,36128,
2008-06,4733,
2008-07,98232,
2008-08,53721,
2008-09,-1714,
2008-10,51434,
2008-11,19894,
2008-12,-14154,
2009-01,-132241,
2009-02,-34399,
2009-03,-43154,
2009-04,-36135,
2009-05,-38175,
2009-06,-73997,
2009-07,-34050,
2009-08,-39795,
2009-09,-59403,
2009-10,-44060,
2009-11,-49152,
2009-12,-24222,
2010-01,-71179,
2010-02,-24277,
2010-03,-16157,
2010-04,-33414,
2010-05,-11340,
2010-06,-26400,
2010-07,16693,
2010-08,26085,
2010-09,5196,
2010-10,24093,
2010-11,-16095,
2010-12,2562,
2011-01,-15542,
2011-02,11828,
2011-03,7179,
2011-04,7430,
2011-05,7197,
2011-06,-22341,
2011-07,18504,
2011-08,21963,
2011-09,12751,
2011-10,-12912,
2011-11,-11190,
2011-12,6120,
2012-01,4893,
2012-02,35001,
2012-03,9816,
2012-04,-9855,
2012-05,-25912,
2012-06,-21872,
2012-07,-8040,
2012-08,-13721,
2012-09,-6338,
2012-10,18320,
2012-11,-13874,
2012-12,-12255,
2013-01,-5441,
2013-02,-3361,
2013-03,5141,
2013-04,-26504,
2013-05,-17244,
2013-06,-19154,
2013-07,-2163,
2013-08,508,
2013-09,-19226,
2013-10,-9387,
2013-11,-15115,
2013-12,-160,
2014-01,-15612,
2014-02,2289,
2014-03,605,
2014-04,-7922,
2014-05,980,
2014-06,-19357,
2014-07,6377,
2014-08,3450,
2014-09,-12835,
2014-10,-20619,
2014-11,-14493,
2014-12,-17513,
2015-01,-35803,
