"",BBK01.OEHB17N,BBK01.OEHB17N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:13,
2002-01,75.108,
2002-04,75.843,
2002-07,76.928,
2002-10,78.653,
2003-01,78.377,
2003-04,79.030,
2003-07,80.058,
2003-10,81.076,
2004-01,81.201,
2004-04,81.491,
2004-07,81.910,
2004-10,81.705,
2005-01,81.303,
2005-04,81.407,
2005-07,82.032,
2005-10,82.731,
2006-01,82.119,
2006-04,82.255,
2006-07,82.520,
2006-10,82.768,
2007-01,82.242,
2007-04,82.415,
2007-07,82.394,
2007-10,82.206,
2008-01,81.710,
2008-04,81.796,
2008-07,82.063,
2008-10,81.936,
2009-01,81.465,
2009-04,81.245,
2009-07,81.392,
2009-10,81.374,
2010-01,80.980,
2010-04,81.128,
2010-07,81.598,
2010-10,81.943,
2011-01,81.761,
2011-04,82.085,
2011-07,82.505,
2011-10,82.582,
2012-01,82.305,
2012-04,82.542,
2012-07,83.003,
2012-10,83.470,
2013-01,83.403,
2013-04,83.813,
2013-07,84.335,
2013-10,84.449,
2014-01,84.349,
2014-04,84.656,
2014-07,85.021,
