"",BBK01.OEHB05K,BBK01.OEHB05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:37,
2002-01,23.830,
2002-04,24.118,
2002-07,24.189,
2002-10,24.642,
2003-01,22.785,
2003-04,22.840,
2003-07,22.807,
2003-10,22.714,
2004-01,22.608,
2004-04,22.722,
2004-07,22.684,
2004-10,22.712,
2005-01,22.604,
2005-04,22.575,
2005-07,22.601,
2005-10,22.658,
2006-01,22.501,
2006-04,22.555,
2006-07,22.420,
2006-10,22.275,
2007-01,21.790,
2007-04,21.843,
2007-07,22.204,
2007-10,21.794,
2008-01,21.980,
2008-04,22.195,
2008-07,22.506,
2008-10,22.868,
2009-01,23.105,
2009-04,23.805,
2009-07,24.977,
2009-10,25.441,
2010-01,25.798,
2010-04,26.319,
2010-07,26.898,
2010-10,27.606,
2011-01,28.103,
2011-04,28.566,
2011-07,28.917,
2011-10,29.180,
2012-01,29.336,
2012-04,30.036,
2012-07,30.359,
2012-10,30.749,
2013-01,30.789,
2013-04,31.583,
2013-07,31.069,
2013-10,31.193,
2014-01,30.752,
2014-04,31.030,
2014-07,30.614,
