"",BBFI1.Q.N.DE.W1.S123.S1.K7A.A.FA.O.F2.S._T.N.N,BBFI1.Q.N.DE.W1.S123.S1.K7A.A.FA.O.F2.S._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Money market funds - Short-term original maturity (up to 1 year incl. incl.) - Assets - Revaluations due to exchange rate changes,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:35,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
