"",BBK01.OEAE18O,BBK01.OEAE18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:55,
2002-01,0.375,
2002-04,0.370,
2002-07,0.333,
2002-10,0.349,
2003-01,0.337,
2003-04,0.333,
2003-07,0.336,
2003-10,0.333,
2004-01,0.317,
2004-04,0.308,
2004-07,0.296,
2004-10,0.281,
2005-01,0.285,
2005-04,0.293,
2005-07,0.337,
2005-10,0.252,
2006-01,0.282,
2006-04,0.289,
2006-07,0.341,
2006-10,0.328,
2007-01,0.261,
2007-04,0.308,
2007-07,0.403,
2007-10,0.317,
2008-01,0.263,
2008-04,0.279,
2008-07,0.305,
2008-10,0.258,
2009-01,0.242,
2009-04,0.222,
2009-07,0.188,
2009-10,0.175,
2010-01,0.169,
2010-04,0.188,
2010-07,0.184,
2010-10,0.175,
2011-01,0.178,
2011-04,0.188,
2011-07,0.195,
2011-10,0.210,
2012-01,0.202,
2012-04,0.205,
2012-07,0.205,
2012-10,0.203,
2013-01,0.186,
2013-04,0.186,
2013-07,0.175,
2013-10,0.178,
2014-01,0.185,
2014-04,0.175,
2014-07,0.168,
