"",BBK01.OEAO02S,BBK01.OEAO02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:26,
2002-01,1.155,
2002-04,0.959,
2002-07,1.037,
2002-10,1.095,
2003-01,1.236,
2003-04,0.870,
2003-07,0.934,
2003-10,1.041,
2004-01,1.100,
2004-04,0.809,
2004-07,0.841,
2004-10,0.926,
2005-01,1.123,
2005-04,0.866,
2005-07,0.974,
2005-10,0.972,
2006-01,1.238,
2006-04,0.960,
2006-07,0.946,
2006-10,1.152,
2007-01,1.557,
2007-04,1.034,
2007-07,1.076,
2007-10,1.205,
2008-01,1.290,
2008-04,1.126,
2008-07,1.011,
2008-10,1.432,
2009-01,1.347,
2009-04,1.086,
2009-07,1.161,
2009-10,1.289,
2010-01,1.282,
2010-04,0.886,
2010-07,0.810,
2010-10,1.111,
2011-01,1.098,
2011-04,0.874,
2011-07,0.914,
2011-10,0.955,
2012-01,1.147,
2012-04,0.870,
2012-07,0.863,
2012-10,0.948,
2013-01,1.047,
2013-04,0.769,
2013-07,0.774,
2013-10,0.822,
2014-01,0.843,
2014-04,0.718,
2014-07,0.830,
