"",BBK01.OUP353,BBK01.OUP353_FLAGS
"",Loans to the federal states for up to and including one year / Foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:56:36,
1999-01,0.010,
1999-02,0.061,
1999-03,0.026,
1999-04,0.472,
1999-05,0.070,
1999-06,0.092,
1999-07,0.146,
1999-08,0.124,
1999-09,0.138,
1999-10,0.192,
1999-11,0.334,
1999-12,0.331,
2000-01,0.380,
2000-02,0.680,
2000-03,0.410,
2000-04,0.318,
2000-05,0.167,
2000-06,0.065,
2000-07,0.299,
2000-08,0.057,
2000-09,0.119,
2000-10,0.207,
2000-11,0.192,
2000-12,0.569,
2001-01,0.795,
2001-02,0.928,
2001-03,0.693,
2001-04,0.694,
2001-05,0.949,
2001-06,0.646,
2001-07,0.360,
2001-08,0.822,
2001-09,0.879,
2001-10,0.600,
2001-11,0.535,
2001-12,0.637,
2002-01,0.615,
2002-02,0.638,
2002-03,0.368,
2002-04,0.399,
2002-05,0.657,
2002-06,0.381,
2002-07,0.947,
2002-08,0.690,
2002-09,0.634,
2002-10,0.447,
2002-11,0.775,
2002-12,1.172,
2003-01,1.137,
2003-02,0.314,
2003-03,0.254,
2003-04,0.504,
2003-05,0.401,
2003-06,0.472,
2003-07,0.265,
2003-08,0.764,
2003-09,0.440,
2003-10,0.499,
2003-11,0.732,
2003-12,0.665,
2004-01,0.462,
2004-02,0.545,
2004-03,0.351,
2004-04,0.248,
2004-05,0.245,
2004-06,0.147,
2004-07,0.283,
2004-08,0.229,
2004-09,0.171,
2004-10,0.276,
2004-11,0.569,
2004-12,0.093,
2005-01,0.452,
2005-02,0.559,
2005-03,0.230,
2005-04,0.272,
2005-05,0.118,
2005-06,0.142,
2005-07,0.187,
2005-08,0.653,
2005-09,0.153,
2005-10,0.432,
2005-11,0.196,
2005-12,0.289,
2006-01,0.277,
2006-02,0.310,
2006-03,0.295,
2006-04,0.937,
2006-05,0.801,
2006-06,0.205,
2006-07,0.431,
2006-08,0.744,
2006-09,0.289,
2006-10,0.632,
2006-11,0.581,
2006-12,0.071,
2007-01,0.079,
2007-02,0.297,
2007-03,0.095,
2007-04,0.629,
2007-05,1.182,
2007-06,0.056,
2007-07,0.352,
2007-08,0.471,
2007-09,0.140,
2007-10,0.530,
2007-11,0.519,
2007-12,0.371,
2008-01,1.174,
2008-02,0.711,
2008-03,0.560,
2008-04,0.704,
2008-05,0.122,
2008-06,0.177,
2008-07,0.083,
2008-08,0.041,
2008-09,0.595,
2008-10,0.298,
2008-11,0.626,
2008-12,0.104,
2009-01,0.431,
2009-02,1.817,
2009-03,1.384,
2009-04,1.532,
2009-05,0.080,
2009-06,0.576,
2009-07,1.783,
2009-08,1.447,
2009-09,1.930,
2009-10,0.831,
2009-11,2.934,
2009-12,1.325,
2010-01,1.758,
2010-02,1.416,
2010-03,2.278,
2010-04,3.076,
2010-05,2.847,
2010-06,1.499,
2010-07,3.277,
2010-08,1.790,
2010-09,1.847,
2010-10,2.060,
2010-11,2.473,
2010-12,1.888,
2011-01,3.374,
2011-02,3.503,
2011-03,3.031,
2011-04,2.863,
2011-05,0.994,
2011-06,1.305,
2011-07,1.712,
2011-08,0.810,
2011-09,0.742,
2011-10,0.432,
2011-11,0.491,
2011-12,0.333,
2012-01,1.560,
2012-02,0.535,
2012-03,0.400,
2012-04,1.741,
2012-05,1.067,
2012-06,0.875,
2012-07,1.132,
2012-08,0.948,
2012-09,0.597,
2012-10,1.214,
2012-11,1.708,
2012-12,1.181,
2013-01,1.453,
2013-02,1.125,
2013-03,1.080,
2013-04,1.800,
2013-05,2.133,
2013-06,1.657,
2013-07,1.722,
2013-08,0.981,
2013-09,1.120,
2013-10,0.934,
2013-11,1.063,
2013-12,1.247,
2014-01,1.679,
2014-02,1.288,
2014-03,1.294,
2014-04,1.006,
2014-05,1.185,
2014-06,0.920,
2014-07,0.594,
2014-08,0.598,
2014-09,0.802,
2014-10,0.937,
2014-11,0.768,
2014-12,0.824,Provisional value
