"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.CA.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.CA.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Canada,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:57,
2009-09,2308,
2009-10,2322,
2009-11,2449,
2009-12,2505,
2010-01,2540,
2010-02,2536,
2010-03,2538,
2010-04,2621,
2010-05,2740,
2010-06,2783,
2010-07,2623,
2010-08,2727,
2010-09,2710,
2010-10,2703,
2010-11,2708,
2010-12,2598,
2011-01,2523,
2011-02,2507,
2011-03,2408,
2011-04,2334,
2011-05,2253,
2011-06,2239,
2011-07,2318,
2011-08,2441,
2011-09,2530,
2011-10,2592,
2011-11,2648,
2011-12,2730,
2012-01,2783,
2012-02,2733,
2012-03,2713,
2012-04,2801,
2012-05,2945,
2012-06,2831,
2012-07,2941,
2012-08,2871,
2012-09,2848,
2012-10,2939,
2012-11,2965,
2012-12,2926,
2013-01,2785,
2013-02,2794,
2013-03,2873,
2013-04,2929,
2013-05,2913,
2013-06,2834,
2013-07,3350,
2013-08,3447,
2013-09,3481,
2013-10,3641,
2013-11,3717,
2013-12,3754,
2014-01,4093,
2014-02,4158,
2014-03,4527,
2014-04,4630,
2014-05,4944,
2014-06,5049,
2014-07,5195,
2014-08,5307,
2014-09,5826,
2014-10,6026,
2014-11,6187,
