"",BBK01.OEHB15U,BBK01.OEHB15U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:36,
2002-01,0.092,
2002-04,0.091,
2002-07,0.089,
2002-10,0.087,
2003-01,0.083,
2003-04,0.084,
2003-07,0.083,
2003-10,0.081,
2004-01,0.078,
2004-04,0.079,
2004-07,0.079,
2004-10,0.079,
2005-01,0.077,
2005-04,0.077,
2005-07,0.078,
2005-10,0.077,
2006-01,0.074,
2006-04,0.076,
2006-07,0.073,
2006-10,0.072,
2007-01,0.070,
2007-04,0.069,
2007-07,0.064,
2007-10,0.060,
2008-01,0.057,
2008-04,0.055,
2008-07,0.055,
2008-10,0.050,
2009-01,0.047,
2009-04,0.049,
2009-07,0.049,
2009-10,0.049,
2010-01,0.051,
2010-04,0.052,
2010-07,0.051,
2010-10,0.054,
2011-01,0.056,
2011-04,0.057,
2011-07,0.058,
2011-10,0.057,
2012-01,0.057,
2012-04,0.058,
2012-07,0.056,
2012-10,0.056,
2013-01,0.054,
2013-04,0.054,
2013-07,0.054,
2013-10,0.055,
2014-01,0.054,
2014-04,0.055,
2014-07,0.057,
