"",BBK01.OEHB16L,BBK01.OEHB16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:50,
2002-01,8.786,
2002-04,8.841,
2002-07,8.706,
2002-10,8.545,
2003-01,8.795,
2003-04,8.691,
2003-07,8.642,
2003-10,8.575,
2004-01,8.352,
2004-04,8.007,
2004-07,8.382,
2004-10,8.572,
2005-01,8.522,
2005-04,8.561,
2005-07,8.588,
2005-10,8.656,
2006-01,8.677,
2006-04,8.674,
2006-07,8.689,
2006-10,8.654,
2007-01,8.548,
2007-04,8.570,
2007-07,8.540,
2007-10,8.599,
2008-01,8.580,
2008-04,8.621,
2008-07,8.668,
2008-10,8.659,
2009-01,8.547,
2009-04,8.622,
2009-07,8.616,
2009-10,8.646,
2010-01,8.600,
2010-04,8.756,
2010-07,8.773,
2010-10,8.816,
2011-01,8.797,
2011-04,8.870,
2011-07,8.987,
2011-10,8.991,
2012-01,9.013,
2012-04,9.071,
2012-07,9.154,
2012-10,9.195,
2013-01,9.199,
2013-04,9.232,
2013-07,9.366,
2013-10,9.384,
2014-01,9.461,
2014-04,9.512,
2014-07,9.643,
