"",BBK01.OECO03Q,BBK01.OECO03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:00,
2002-01,0.203,
2002-04,0.299,
2002-07,0.107,
2002-10,0.100,
2003-01,0.158,
2003-04,0.133,
2003-07,0.124,
2003-10,0.133,
2004-01,0.168,
2004-04,0.118,
2004-07,0.118,
2004-10,0.269,
2005-01,0.521,
2005-04,0.454,
2005-07,0.391,
2005-10,0.444,
2006-01,0.514,
2006-04,0.498,
2006-07,0.480,
2006-10,0.538,
2007-01,0.600,
2007-04,0.447,
2007-07,0.438,
2007-10,0.456,
2008-01,0.471,
2008-04,0.426,
2008-07,0.388,
2008-10,0.478,
2009-01,0.455,
2009-04,0.359,
2009-07,0.510,
2009-10,0.487,
2010-01,0.558,
2010-04,0.425,
2010-07,0.294,
2010-10,0.363,
2011-01,0.470,
2011-04,0.445,
2011-07,0.444,
2011-10,0.323,
2012-01,0.469,
2012-04,0.393,
2012-07,0.360,
2012-10,0.330,
2013-01,0.521,
2013-04,0.355,
2013-07,0.343,
2013-10,0.287,
2014-01,0.248,
2014-04,0.226,
2014-07,0.237,
