"",BBK01.OELI04G,BBK01.OELI04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:44,
2002-01,12.287,
2002-04,12.066,
2002-07,12.100,
2002-10,12.273,
2003-01,11.671,
2003-04,11.082,
2003-07,10.718,
2003-10,11.126,
2004-01,10.363,
2004-04,10.092,
2004-07,9.973,
2004-10,10.137,
2005-01,9.318,
2005-04,9.331,
2005-07,9.061,
2005-10,9.942,
2006-01,9.798,
2006-04,10.038,
2006-07,10.420,
2006-10,11.707,
2007-01,11.976,
2007-04,13.084,
2007-07,14.222,
2007-10,16.073,
2008-01,16.554,
2008-04,17.830,
2008-07,19.051,
2008-10,21.934,
2009-01,18.315,
2009-04,15.533,
2009-07,12.605,
2009-10,10.917,
2010-01,9.533,
2010-04,9.067,
2010-07,8.889,
2010-10,9.245,
2011-01,8.935,
2011-04,9.285,
2011-07,10.002,
2011-10,10.730,
2012-01,10.034,
2012-04,9.583,
2012-07,9.169,
2012-10,8.994,
2013-01,8.650,
2013-04,7.835,
2013-07,7.775,
2013-10,7.822,
2014-01,7.393,
2014-04,7.404,
2014-07,7.848,
