"",BBK01.OECL08Q,BBK01.OECL08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:09,
2002-01,0.527,
2002-04,0.421,
2002-07,0.421,
2002-10,0.470,
2003-01,0.452,
2003-04,0.427,
2003-07,0.490,
2003-10,0.494,
2004-01,0.468,
2004-04,0.457,
2004-07,0.577,
2004-10,1.424,
2005-01,3.036,
2005-04,2.985,
2005-07,2.983,
2005-10,2.979,
2006-01,3.021,
2006-04,2.958,
2006-07,2.878,
2006-10,2.833,
2007-01,2.854,
2007-04,2.804,
2007-07,2.717,
2007-10,2.731,
2008-01,2.711,
2008-04,2.760,
2008-07,2.676,
2008-10,2.673,
2009-01,2.848,
2009-04,2.992,
2009-07,3.157,
2009-10,3.291,
2010-01,3.436,
2010-04,3.414,
2010-07,3.475,
2010-10,3.511,
2011-01,3.450,
2011-04,3.372,
2011-07,3.343,
2011-10,3.342,
2012-01,3.536,
2012-04,3.452,
2012-07,3.438,
2012-10,3.527,
2013-01,3.464,
2013-04,3.411,
2013-07,3.339,
2013-10,3.325,
2014-01,3.288,
2014-04,3.235,
2014-07,3.282,
