"",BBK01.OEAD13G,BBK01.OEAD13G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:31,
2002-01,0.489,
2002-04,0.483,
2002-07,0.467,
2002-10,0.413,
2003-01,0.432,
2003-04,0.441,
2003-07,0.383,
2003-10,0.350,
2004-01,0.404,
2004-04,0.414,
2004-07,0.372,
2004-10,0.416,
2005-01,0.434,
2005-04,0.510,
2005-07,0.480,
2005-10,0.416,
2006-01,0.453,
2006-04,0.531,
2006-07,0.439,
2006-10,0.438,
2007-01,0.433,
2007-04,0.500,
2007-07,0.448,
2007-10,0.459,
2008-01,0.486,
2008-04,0.471,
2008-07,0.492,
2008-10,0.437,
2009-01,0.471,
2009-04,0.477,
2009-07,0.476,
2009-10,0.447,
2010-01,0.418,
2010-04,0.422,
2010-07,0.407,
2010-10,0.401,
2011-01,0.467,
2011-04,0.465,
2011-07,0.431,
2011-10,0.387,
2012-01,0.448,
2012-04,0.443,
2012-07,0.440,
2012-10,0.371,
2013-01,0.421,
2013-04,0.420,
2013-07,0.382,
2013-10,0.335,
2014-01,0.378,
2014-04,0.397,
2014-07,0.408,
