"",BBFN1.M.DE.N.1.A.CN.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CN.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents arising from trade credits / Total / China, People's Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:03,
1994-07,0.778,
1994-08,0.802,
1994-09,0.870,
1994-10,0.891,
1994-11,0.868,
1994-12,0.925,
1995-01,0.920,
1995-02,0.912,
1995-03,0.919,
1995-04,0.939,
1995-05,1.020,
1995-06,1.069,
1995-07,1.101,
1995-08,1.137,
1995-09,1.167,
1995-10,1.221,
1995-11,1.267,
1995-12,1.321,
1996-01,1.314,
1996-02,1.344,
1996-03,1.350,
1996-04,1.479,
1996-05,1.318,
1996-06,1.387,
1996-07,1.426,
1996-08,1.413,
1996-09,1.287,
1996-10,1.458,
1996-11,1.499,
1996-12,1.482,
1997-01,1.409,
1997-02,1.370,
1997-03,1.375,
1997-04,1.384,
1997-05,1.425,
1997-06,1.445,
1997-07,1.511,
1997-08,1.574,
1997-09,1.606,
1997-10,1.645,
1997-11,1.749,
1997-12,1.763,
1998-01,1.824,
1998-02,1.939,
1998-03,1.861,
1998-04,1.869,
1998-05,1.965,
1998-06,2.029,
1998-07,2.033,
1998-08,2.038,
1998-09,2.049,
1998-10,2.038,
1998-11,2.107,
1998-12,2.096,
1999-01,2.034,
1999-02,2.091,
1999-03,2.072,
1999-04,1.755,
1999-05,2.279,
1999-06,2.280,
1999-07,2.241,
1999-08,2.233,
1999-09,2.263,
1999-10,2.370,
1999-11,2.323,
1999-12,2.369,
2000-01,2.355,
2000-02,2.291,
2000-03,2.406,
2000-04,2.422,
2000-05,2.479,
2000-06,2.585,
2000-07,2.501,
2000-08,2.591,
2000-09,2.636,
2000-10,2.798,
2000-11,2.971,
2000-12,3.113,
2001-01,3.189,
2001-02,3.230,
2001-03,3.118,
2001-04,3.272,
2001-05,3.104,
2001-06,3.534,
2001-07,3.284,
2001-08,3.314,
2001-09,3.535,
2001-10,3.487,
2001-11,3.358,
2001-12,3.031,
2002-01,2.543,
2002-02,2.797,
2002-03,2.992,
2002-04,2.961,
2002-05,3.132,
2002-06,3.237,
2002-07,3.283,
2002-08,3.229,
2002-09,3.188,
2002-10,3.273,
2002-11,3.415,
2002-12,3.469,
2003-01,3.465,
2003-02,3.401,
2003-03,3.373,
2003-04,3.540,
2003-05,3.565,
2003-06,3.592,
2003-07,3.715,
2003-08,3.791,
2003-09,3.731,
2003-10,4.094,
2003-11,4.122,
2003-12,4.105,
2004-01,3.760,
2004-02,3.714,
2004-03,3.709,
2004-04,3.943,
2004-05,3.980,
2004-06,4.065,
2004-07,4.103,
2004-08,3.970,
2004-09,3.999,
2004-10,4.094,
2004-11,4.043,
2004-12,3.921,
2005-01,3.728,
2005-02,3.982,
2005-03,4.071,
2005-04,4.046,
2005-05,4.326,
2005-06,4.379,
2005-07,4.410,
2005-08,4.436,
2005-09,4.422,
2005-10,4.667,
2005-11,4.823,
2005-12,4.749,
2006-01,4.517,
2006-02,4.696,
2006-03,4.749,
2006-04,5.033,
2006-05,5.287,
2006-06,5.660,
2006-07,5.807,
2006-08,5.625,
2006-09,5.612,
2006-10,5.664,
2006-11,5.763,
2006-12,5.701,
2007-01,5.566,
2007-02,5.819,
2007-03,6.039,
2007-04,6.018,
2007-05,6.210,
2007-06,6.529,
2007-07,6.643,
2007-08,6.550,
2007-09,6.766,
2007-10,6.995,
2007-11,7.205,
2007-12,7.284,
2008-01,7.019,
2008-02,7.298,
2008-03,7.430,
2008-04,7.670,
2008-05,7.705,
2008-06,7.848,
2008-07,8.024,
2008-08,7.614,
2008-09,7.232,
2008-10,7.509,
2008-11,8.125,
2008-12,7.656,
2009-01,7.471,
2009-02,7.470,
2009-03,7.377,
2009-04,7.392,
2009-05,7.642,
2009-06,7.851,
2009-07,8.212,
2009-08,8.271,
2009-09,8.652,
2009-10,8.978,
2009-11,9.268,
2009-12,9.054,
2010-01,9.281,
2010-02,9.751,
2010-03,10.372,
2010-04,11.077,
2010-05,10.953,
2010-06,11.570,
2010-07,10.519,
2010-08,10.185,
2010-09,10.528,
2010-10,11.527,
2010-11,12.137,
2010-12,12.147,
2011-01,11.798,
2011-02,12.316,
2011-03,12.642,
2011-04,12.839,
2011-05,12.900,
2011-06,12.826,
2011-07,13.268,
2011-08,13.289,
2011-09,13.640,
2011-10,14.136,
2011-11,14.539,
2011-12,14.062,
2012-01,14.272,
2012-02,14.619,
2012-03,14.950,
2012-04,15.372,
2012-05,15.630,
2012-06,15.812,
2012-07,15.966,
2012-08,15.543,
2012-09,15.230,
2012-10,14.873,
2012-11,14.817,
2012-12,14.185,
2013-01,13.732,
2013-02,14.178,
2013-03,14.740,
2013-04,15.362,
2013-05,14.988,
2013-06,15.256,
2013-07,14.902,
2013-08,14.925,
2013-09,15.337,
2013-10,15.345,
2013-11,15.941,
2013-12,15.941,
2014-01,15.377,
2014-02,15.882,
2014-03,15.830,
2014-04,16.761,
2014-05,16.902,
2014-06,16.978,
2014-07,17.569,
2014-08,17.534,
2014-09,17.693,
2014-10,18.188,
2014-11,18.463,
2014-12,17.794,
"",General: Excluding Hong Kong.,
