"",BBK01.OEBI03I,BBK01.OEBI03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:25,
2002-01,12.225,
2002-04,11.513,
2002-07,10.886,
2002-10,10.889,
2003-01,11.394,
2003-04,10.177,
2003-07,9.248,
2003-10,8.787,
2004-01,8.102,
2004-04,7.665,
2004-07,7.766,
2004-10,8.001,
2005-01,9.500,
2005-04,8.463,
2005-07,7.734,
2005-10,8.017,
2006-01,9.298,
2006-04,9.177,
2006-07,9.286,
2006-10,9.912,
2007-01,10.403,
2007-04,11.213,
2007-07,11.931,
2007-10,13.399,
2008-01,13.162,
2008-04,13.978,
2008-07,14.204,
2008-10,13.777,
2009-01,10.904,
2009-04,9.740,
2009-07,8.381,
2009-10,6.684,
2010-01,7.860,
2010-04,7.678,
2010-07,8.226,
2010-10,9.731,
2011-01,12.789,
2011-04,13.906,
2011-07,16.102,
2011-10,16.319,
2012-01,18.196,
2012-04,19.704,
2012-07,19.132,
2012-10,17.586,
2013-01,20.231,
2013-04,21.908,
2013-07,20.770,
2013-10,19.702,
2014-01,19.690,
2014-04,20.017,
2014-07,18.750,
