"",BBK01.CEL090,BBK01.CEL090_FLAGS
"",Total                                                         debtor: Investment fund shares   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:09,
1999-01,26.8,
1999-04,21.5,
1999-07,16.0,
1999-10,33.3,
2000-01,22.8,
2000-04,17.9,
2000-07,19.8,
2000-10,26.6,
2001-01,22.2,
2001-04,7.6,
2001-07,7.6,
2001-10,29.9,
2002-01,16.6,
2002-04,16.4,
2002-07,10.6,
2002-10,14.8,
2003-01,14.8,
2003-04,17.8,
2003-07,8.1,
2003-10,9.7,
2004-01,9.0,
2004-04,-0.6,
2004-07,-7.4,
2004-10,7.4,
2005-01,10.6,
2005-04,9.5,
2005-07,13.5,
2005-10,16.0,
2006-01,9.4,
2006-04,6.1,
2006-07,3.5,
2006-10,5.0,
2007-01,12.8,
2007-04,-0.4,
2007-07,-4.7,
2007-10,11.2,
2008-01,-4.5,
2008-04,7.8,
2008-07,9.8,
2008-10,-6.3,
2009-01,11.6,
2009-04,2.9,
2009-07,11.9,
2009-10,25.5,
2010-01,25.1,
2010-04,12.7,
2010-07,22.4,
2010-10,26.4,
2011-01,14.4,
2011-04,5.3,
2011-07,10.0,
2011-10,15.4,
2012-01,19.5,
2012-04,21.4,
2012-07,15.8,
2012-10,33.1,
2013-01,34.1,
2013-04,13.7,
2013-07,16.9,
2013-10,26.4,
2014-01,23.3,
2014-04,16.0,
2014-07,29.2,
