"",BBK01.OEAH22P,BBK01.OEAH22P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:32,
2002-01,1.279,
2002-04,1.291,
2002-07,1.258,
2002-10,1.089,
2003-01,1.085,
2003-04,1.054,
2003-07,1.027,
2003-10,1.209,
2004-01,1.190,
2004-04,1.180,
2004-07,1.165,
2004-10,1.170,
2005-01,1.155,
2005-04,1.131,
2005-07,1.090,
2005-10,1.037,
2006-01,1.011,
2006-04,1.002,
2006-07,1.003,
2006-10,1.007,
2007-01,1.025,
2007-04,1.032,
2007-07,1.041,
2007-10,1.010,
2008-01,1.032,
2008-04,1.073,
2008-07,1.129,
2008-10,1.160,
2009-01,1.131,
2009-04,1.067,
2009-07,0.995,
2009-10,0.934,
2010-01,0.889,
2010-04,0.839,
2010-07,0.774,
2010-10,0.734,
2011-01,0.744,
2011-04,0.761,
2011-07,0.749,
2011-10,0.707,
2012-01,0.682,
2012-04,0.674,
2012-07,0.661,
2012-10,0.642,
2013-01,0.603,
2013-04,0.556,
2013-07,0.535,
2013-10,0.543,
2014-01,0.532,
2014-04,0.506,
2014-07,0.491,
