"",BBFN1.M.DE.N.1.L.U2.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:12,
1995-01,8.025,
1995-02,7.967,
1995-03,7.979,
1995-04,8.008,
1995-05,8.013,
1995-06,7.670,
1995-07,8.111,
1995-08,8.008,
1995-09,7.948,
1995-10,8.116,
1995-11,8.228,
1995-12,7.780,
1996-01,7.787,
1996-02,7.786,
1996-03,7.665,
1996-04,7.861,
1996-05,7.821,
1996-06,7.737,
1996-07,7.640,
1996-08,7.787,
1996-09,7.818,
1996-10,7.939,
1996-11,7.953,
1996-12,8.145,
1997-01,8.594,
1997-02,8.525,
1997-03,8.577,
1997-04,8.669,
1997-05,8.355,
1997-06,8.188,
1997-07,8.146,
1997-08,8.398,
1997-09,8.236,
1997-10,8.273,
1997-11,8.230,
1997-12,8.126,
1998-01,8.079,
1998-02,7.785,
1998-03,7.724,
1998-04,7.794,
1998-05,7.880,
1998-06,9.478,
1998-07,9.662,
1998-08,9.835,
1998-09,10.263,
1998-10,10.372,
1998-11,9.760,
1998-12,9.935,
1999-01,10.131,
1999-02,10.217,
1999-03,9.945,
1999-04,9.986,
1999-05,9.841,
1999-06,9.051,
1999-07,11.107,
1999-08,11.163,
1999-09,11.482,
1999-10,11.588,
1999-11,11.196,
1999-12,11.626,
2000-01,11.960,
2000-02,10.580,
2000-03,10.491,
2000-04,10.395,
2000-05,10.506,
2000-06,10.155,
2000-07,10.337,
2000-08,10.270,
2000-09,11.655,
2000-10,12.186,
2000-11,12.816,
2000-12,12.321,
2001-01,12.700,
2001-02,15.413,
2001-03,16.048,
2001-04,18.139,
2001-05,18.329,
2001-06,18.538,
2001-07,19.633,
2001-08,20.272,
2001-09,20.493,
2001-10,20.627,
2001-11,20.915,
2001-12,21.098,
2002-01,21.520,
2002-02,20.699,
2002-03,20.595,
2002-04,20.767,
2002-05,20.786,
2002-06,20.919,
2002-07,21.789,
2002-08,21.815,
2002-09,21.691,
2002-10,22.300,
2002-11,22.638,
2002-12,20.597,
2003-01,20.593,
2003-02,22.005,
2003-03,15.560,
2003-04,15.855,
2003-05,16.496,
2003-06,17.327,
2003-07,17.735,
2003-08,17.544,
2003-09,17.254,
2003-10,17.456,
2003-11,17.490,
2003-12,17.211,
2004-01,18.012,
2004-02,18.127,
2004-03,17.757,
2004-04,17.151,
2004-05,16.846,
2004-06,17.574,
2004-07,17.471,
2004-08,16.954,
2004-09,16.780,
2004-10,15.562,
2004-11,15.606,
2004-12,16.615,
2005-01,17.000,
2005-02,17.982,
2005-03,18.051,
2005-04,17.531,
2005-05,17.645,
2005-06,18.469,
2005-07,18.449,
2005-08,18.990,
2005-09,18.965,
2005-10,19.451,
2005-11,19.534,
2005-12,19.576,
2006-01,19.689,
2006-02,20.451,
2006-03,20.405,
2006-04,22.748,
2006-05,23.229,
2006-06,23.573,
2006-07,23.635,
2006-08,25.027,
2006-09,25.498,
2006-10,26.542,
2006-11,27.527,
2006-12,27.429,
2007-01,27.916,
2007-02,28.326,
2007-03,27.740,
2007-04,28.791,
2007-05,29.560,
2007-06,30.753,
2007-07,31.086,
2007-08,33.622,
2007-09,34.828,
2007-10,35.972,
2007-11,36.678,
2007-12,41.278,
2008-01,42.457,
2008-02,46.697,
2008-03,50.092,
2008-04,50.970,
2008-05,51.433,
2008-06,51.579,
2008-07,51.653,
2008-08,51.710,
2008-09,51.894,
2008-10,52.430,
2008-11,53.220,
2008-12,60.034,
2009-01,61.724,
2009-02,63.423,
2009-03,61.089,
2009-04,61.736,
2009-05,62.837,
2009-06,63.246,
2009-07,63.609,
2009-08,67.636,
2009-09,68.431,
2009-10,66.226,
2009-11,66.964,
2009-12,68.118,
2010-01,66.602,
2010-02,65.916,
2010-03,64.448,
2010-04,64.586,
2010-05,65.156,
2010-06,64.345,
2010-07,68.112,
2010-08,66.636,
2010-09,65.734,
2010-10,64.325,
2010-11,64.343,
2010-12,66.754,
2011-01,65.386,
2011-02,63.896,
2011-03,64.138,
2011-04,62.521,
2011-05,62.406,
2011-06,61.625,
2011-07,61.966,
2011-08,62.128,
2011-09,61.858,
2011-10,61.873,
2011-11,62.250,
2011-12,62.667,
2012-01,62.798,
2012-02,62.115,
2012-03,61.116,
2012-04,60.651,
2012-05,60.793,
2012-06,60.347,
2012-07,60.473,
2012-08,62.624,
2012-09,59.481,
2012-10,60.619,
2012-11,60.783,
2012-12,60.374,
2013-01,59.934,
2013-02,59.359,
2013-03,61.799,
2013-04,59.648,
2013-05,57.265,
2013-06,56.459,
2013-07,56.267,
2013-08,54.842,
2013-09,55.562,
2013-10,55.732,
2013-11,54.792,
2013-12,49.468,
2014-01,48.995,
2014-02,47.393,
2014-03,46.655,
2014-04,47.651,
2014-05,46.841,
2014-06,47.093,
2014-07,47.142,
2014-08,47.291,
2014-09,47.930,
2014-10,47.379,
2014-11,48.161,
2014-12,47.937,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus January 2011, including Estonia.",
