"",BBFN1.M.DE.N.1.A.JE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.JE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Jersey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:57,
2002-12,0.000,
2003-01,0.214,
2003-02,0.260,
2003-03,0.285,
2003-04,0.191,
2003-05,0.165,
2003-06,0.192,
2003-07,0.364,
2003-08,0.282,
2003-09,0.250,
2003-10,0.318,
2003-11,0.374,
2003-12,0.140,
2004-01,0.477,
2004-02,2.240,
2004-03,2.195,
2004-04,2.187,
2004-05,.,No value available
2004-06,.,No value available
2004-07,.,No value available
2004-08,.,No value available
2004-09,.,No value available
2004-10,.,No value available
2004-11,.,No value available
2004-12,.,No value available
2005-01,.,No value available
2005-02,.,No value available
2005-03,.,No value available
2005-04,.,No value available
2005-05,.,No value available
2005-06,.,No value available
2005-07,.,No value available
2005-08,.,No value available
2005-09,.,No value available
2005-10,.,No value available
2005-11,.,No value available
2005-12,0.046,
2006-01,.,No value available
2006-02,.,No value available
2006-03,.,No value available
2006-04,.,No value available
2006-05,.,No value available
2006-06,.,No value available
2006-07,.,No value available
2006-08,.,No value available
2006-09,.,No value available
2006-10,.,No value available
2006-11,.,No value available
2006-12,.,No value available
2007-01,.,No value available
2007-02,.,No value available
2007-03,.,No value available
2007-04,.,No value available
2007-05,.,No value available
2007-06,.,No value available
2007-07,.,No value available
2007-08,.,No value available
2007-09,.,No value available
2007-10,.,No value available
2007-11,.,No value available
2007-12,.,No value available
2008-01,.,No value available
2008-02,0.061,
2008-03,0.060,
2008-04,0.160,
2008-05,0.125,
2008-06,0.117,
2008-07,0.155,
2008-08,0.149,
2008-09,0.081,
2008-10,0.128,
2008-11,0.215,
2008-12,0.122,
2009-01,0.148,
2009-02,0.073,
2009-03,0.052,
2009-04,0.075,
2009-05,0.111,
2009-06,0.046,
2009-07,0.043,
2009-08,0.052,
2009-09,0.044,
2009-10,0.105,
2009-11,0.145,
2009-12,0.090,
2010-01,0.155,
2010-02,0.118,
2010-03,0.050,
2010-04,0.176,
2010-05,0.166,
2010-06,0.071,
2010-07,0.127,
2010-08,0.125,
2010-09,0.050,
2010-10,0.130,
2010-11,0.150,
2010-12,0.135,
2011-01,0.201,
2011-02,0.107,
2011-03,0.073,
2011-04,0.125,
2011-05,0.168,
2011-06,0.104,
2011-07,0.157,
2011-08,0.129,
2011-09,0.115,
2011-10,0.161,
2011-11,0.141,
2011-12,0.160,
2012-01,0.194,
2012-02,0.043,
2012-03,0.106,
2012-04,0.162,
2012-05,0.140,
2012-06,0.166,
2012-07,0.131,
2012-08,0.168,
2012-09,0.073,
2012-10,0.185,
2012-11,0.154,
2012-12,0.183,
2013-01,0.109,
2013-02,0.065,
2013-03,0.138,
2013-04,0.105,
2013-05,0.145,
2013-06,0.082,
2013-07,0.143,
2013-08,0.111,
2013-09,0.205,
2013-10,0.229,
2013-11,0.245,
2013-12,0.234,
2014-01,0.238,
2014-02,0.213,
2014-03,0.191,
2014-04,0.157,
2014-05,0.214,
2014-06,0.160,
2014-07,0.158,
2014-08,0.142,
2014-09,0.102,
2014-10,0.210,
2014-11,0.246,
2014-12,0.048,
