"",BBK01.OEBB05N,BBK01.OEBB05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:38,
2002-01,141.101,
2002-04,142.920,
2002-07,141.533,
2002-10,140.081,
2003-01,137.175,
2003-04,138.638,
2003-07,138.591,
2003-10,138.749,
2004-01,137.905,
2004-04,138.256,
2004-07,141.472,
2004-10,99.232,
2005-01,111.791,
2005-04,112.846,
2005-07,111.695,
2005-10,111.075,
2006-01,109.955,
2006-04,111.546,
2006-07,112.930,
2006-10,111.779,
2007-01,113.873,
2007-04,115.252,
2007-07,114.138,
2007-10,119.481,
2008-01,123.962,
2008-04,128.145,
2008-07,132.633,
2008-10,135.647,
2009-01,130.088,
2009-04,133.017,
2009-07,140.463,
2009-10,130.278,
2010-01,129.907,
2010-04,137.566,
2010-07,132.466,
2010-10,132.243,
2011-01,135.672,
2011-04,136.896,
2011-07,146.699,
2011-10,144.528,
2012-01,136.842,
2012-04,142.833,
2012-07,145.422,
2012-10,143.868,
2013-01,147.614,
2013-04,148.167,
2013-07,131.557,
2013-10,130.103,
2014-01,135.326,
2014-04,136.107,
2014-07,135.550,
