"",BBK01.OECB09T,BBK01.OECB09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:03,
2002-01,1.593,
2002-04,1.592,
2002-07,1.558,
2002-10,1.506,
2003-01,1.451,
2003-04,1.422,
2003-07,1.447,
2003-10,1.379,
2004-01,1.323,
2004-04,1.291,
2004-07,1.211,
2004-10,1.172,
2005-01,1.132,
2005-04,1.083,
2005-07,1.047,
2005-10,1.029,
2006-01,0.989,
2006-04,1.057,
2006-07,1.075,
2006-10,1.015,
2007-01,0.970,
2007-04,0.971,
2007-07,0.951,
2007-10,0.963,
2008-01,1.039,
2008-04,1.051,
2008-07,0.995,
2008-10,0.962,
2009-01,0.971,
2009-04,0.991,
2009-07,0.964,
2009-10,1.158,
2010-01,1.154,
2010-04,1.148,
2010-07,1.197,
2010-10,1.146,
2011-01,1.206,
2011-04,1.211,
2011-07,1.175,
2011-10,1.149,
2012-01,1.209,
2012-04,1.212,
2012-07,1.231,
2012-10,1.199,
2013-01,1.256,
2013-04,1.201,
2013-07,1.229,
2013-10,1.100,
2014-01,1.110,
2014-04,1.070,
2014-07,1.214,
