"",BBFB1.Q.N.DE.D09.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:04,
1991-01,0.210,
1991-04,0.560,
1991-07,0.236,
1991-10,0.642,
1992-01,0.374,
1992-04,0.098,
1992-07,-0.118,
1992-10,0.009,
1993-01,-1.435,
1993-04,0.185,
1993-07,0.392,
1993-10,2.166,
1994-01,0.510,
1994-04,0.511,
1994-07,0.159,
1994-10,0.586,
1995-01,0.377,
1995-04,0.187,
1995-07,0.290,
1995-10,0.141,
1996-01,0.101,
1996-04,0.137,
1996-07,0.165,
1996-10,-0.074,
1997-01,0.200,
1997-04,0.661,
1997-07,-0.258,
1997-10,0.187,
1998-01,0.603,
1998-04,0.240,
1998-07,0.003,
1998-10,0.029,
1999-01,0.698,
1999-04,0.368,
1999-07,1.334,
1999-10,1.413,
2000-01,0.349,
2000-04,0.658,
2000-07,0.361,
2000-10,1.352,
2001-01,0.305,
2001-04,0.301,
2001-07,0.436,
2001-10,0.107,
2002-01,0.664,
2002-04,0.381,
2002-07,0.123,
2002-10,0.308,
2003-01,0.419,
2003-04,0.162,
2003-07,0.616,
2003-10,0.405,
2004-01,3.545,
2004-04,0.209,
2004-07,-6.467,
2004-10,-0.183,
2005-01,0.208,
2005-04,0.326,
2005-07,-0.067,
2005-10,0.660,
2006-01,0.218,
2006-04,0.406,
2006-07,-0.306,
2006-10,0.015,
2007-01,0.894,
2007-04,0.730,
2007-07,0.322,
2007-10,0.544,
2008-01,-0.097,
2008-04,0.637,
2008-07,0.467,
2008-10,0.284,
2009-01,0.461,
2009-04,-0.239,
2009-07,0.410,
2009-10,0.257,
2010-01,0.205,
2010-04,-0.095,
2010-07,0.090,
2010-10,0.364,
2011-01,-0.007,
2011-04,0.252,
2011-07,1.182,
2011-10,-0.071,
2012-01,54.025,
2012-04,54.294,
2012-07,54.056,
2012-10,54.000,
2013-01,24.137,
2013-04,0.000,
2013-07,165.058,
2013-10,165.083,
2014-01,120.323,
2014-04,120.014,
2014-07,120.000,
