"",BBK01.OEYI05V,BBK01.OEYI05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:06,
2002-01,4.835,
2002-04,4.975,
2002-07,5.057,
2002-10,5.448,
2003-01,5.618,
2003-04,5.829,
2003-07,5.835,
2003-10,5.847,
2004-01,5.884,
2004-04,6.816,
2004-07,6.779,
2004-10,6.686,
2005-01,6.609,
2005-04,6.801,
2005-07,7.362,
2005-10,7.301,
2006-01,7.116,
2006-04,7.219,
2006-07,7.223,
2006-10,7.296,
2007-01,7.446,
2007-04,7.403,
2007-07,7.258,
2007-10,7.432,
2008-01,7.353,
2008-04,2.301,
2008-07,2.284,
2008-10,2.304,
2009-01,2.314,
2009-04,0.969,
2009-07,0.968,
2009-10,2.455,
2010-01,2.758,
2010-04,2.528,
2010-07,2.026,
2010-10,1.965,
2011-01,2.082,
2011-04,2.031,
2011-07,2.789,
2011-10,2.703,
2012-01,2.660,
2012-04,2.680,
2012-07,2.582,
2012-10,2.244,
2013-01,2.317,
2013-04,2.054,
2013-07,2.077,
2013-10,2.022,
2014-01,2.001,
2014-04,2.039,
2014-07,2.063,
