"",BBK01.OEAC56J,BBK01.OEAC56J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:40,
2002-01,2.564,
2002-04,2.559,
2002-07,2.455,
2002-10,2.477,
2003-01,2.444,
2003-04,2.464,
2003-07,2.616,
2003-10,2.588,
2004-01,2.483,
2004-04,2.488,
2004-07,2.468,
2004-10,2.266,
2005-01,2.330,
2005-04,2.340,
2005-07,2.343,
2005-10,2.389,
2006-01,2.376,
2006-04,2.427,
2006-07,2.421,
2006-10,2.438,
2007-01,2.400,
2007-04,2.445,
2007-07,2.434,
2007-10,2.421,
2008-01,2.393,
2008-04,2.351,
2008-07,2.177,
2008-10,2.242,
2009-01,2.226,
2009-04,2.244,
2009-07,2.256,
2009-10,2.168,
2010-01,1.364,
2010-04,2.266,
2010-07,2.235,
2010-10,2.206,
2011-01,2.167,
2011-04,2.066,
2011-07,2.126,
2011-10,2.088,
2012-01,2.064,
2012-04,2.218,
2012-07,2.197,
2012-10,2.170,
2013-01,2.219,
2013-04,2.186,
2013-07,2.179,
2013-10,2.153,
2014-01,2.153,
2014-04,2.134,
2014-07,2.186,
