"",BBK01.CEB310,BBK01.CEB310_FLAGS
"",Securities other than shares debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:45,
1991-01,33.9,
1991-04,37.0,
1991-07,40.8,
1991-10,37.4,
1992-01,48.1,
1992-04,51.1,
1992-07,57.1,
1992-10,61.2,
1993-01,83.1,
1993-04,94.2,
1993-07,101.8,
1993-10,115.4,
1994-01,100.1,
1994-04,102.4,
1994-07,111.4,
1994-10,132.9,
1995-01,58.3,
1995-04,61.0,
1995-07,61.8,
1995-10,56.8,
1996-01,56.0,
1996-04,55.8,
1996-07,54.7,
1996-10,52.2,
1997-01,53.6,
1997-04,54.2,
1997-07,52.9,
1997-10,48.3,
1998-01,51.9,
1998-04,49.6,
1998-07,52.0,
1998-10,46.2,
1999-01,46.4,
1999-04,45.0,
1999-07,45.4,
1999-10,43.8,
2000-01,45.0,
2000-04,48.1,
2000-07,51.3,
2000-10,52.6,
2001-01,57.5,
2001-04,56.3,
2001-07,63.5,
2001-10,62.8,
2002-01,59.2,
2002-04,65.3,
2002-07,72.1,
2002-10,70.7,
2003-01,86.8,
2003-04,96.6,
2003-07,96.0,
2003-10,99.0,
2004-01,98.6,
2004-04,98.8,
2004-07,102.3,
2004-10,103.4,
2005-01,109.6,
2005-04,111.0,
2005-07,110.4,
2005-10,106.6,
2006-01,113.0,
2006-04,119.1,
2006-07,115.5,
2006-10,108.9,
2007-01,112.7,
2007-04,112.3,
2007-07,112.4,
2007-10,118.6,
2008-01,128.0,
2008-04,118.8,
2008-07,121.7,
2008-10,131.2,
2009-01,122.5,
2009-04,119.8,
2009-07,125.7,
2009-10,129.0,
2010-01,137.4,
2010-04,140.3,
2010-07,137.5,
2010-10,134.8,
2011-01,100.7,
2011-04,98.9,
2011-07,111.9,
2011-10,110.7,
2012-01,115.6,
2012-04,117.2,
2012-07,124.6,
2012-10,130.9,
2013-01,139.6,
2013-04,141.3,
2013-07,137.5,
2013-10,138.9,
2014-01,142.5,
