"",BBK01.OEAD10M,BBK01.OEAD10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:10,
2002-01,2.219,
2002-04,2.189,
2002-07,2.094,
2002-10,2.094,
2003-01,2.054,
2003-04,2.087,
2003-07,1.997,
2003-10,2.028,
2004-01,1.970,
2004-04,1.897,
2004-07,1.864,
2004-10,1.883,
2005-01,1.900,
2005-04,1.903,
2005-07,1.962,
2005-10,1.912,
2006-01,1.943,
2006-04,1.942,
2006-07,1.915,
2006-10,2.031,
2007-01,1.896,
2007-04,1.908,
2007-07,1.938,
2007-10,2.057,
2008-01,1.949,
2008-04,1.997,
2008-07,2.040,
2008-10,1.913,
2009-01,2.023,
2009-04,2.048,
2009-07,1.975,
2009-10,2.035,
2010-01,1.982,
2010-04,1.998,
2010-07,2.058,
2010-10,1.929,
2011-01,1.997,
2011-04,2.019,
2011-07,2.081,
2011-10,2.081,
2012-01,2.041,
2012-04,2.081,
2012-07,2.144,
2012-10,2.164,
2013-01,2.156,
2013-04,2.209,
2013-07,2.188,
2013-10,2.117,
2014-01,2.156,
2014-04,2.008,
2014-07,1.912,
