"",BBK01.CEB7Q2,BBK01.CEB7Q2_FLAGS
"",Other claims (consolidated) debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:23,
1991-01,42.8,
1991-04,41.1,
1991-07,45.6,
1991-10,50.9,
1992-01,53.2,
1992-04,52.7,
1992-07,53.7,
1992-10,59.7,
1993-01,56.5,
1993-04,56.6,
1993-07,58.5,
1993-10,63.7,
1994-01,62.9,
1994-04,62.8,
1994-07,63.6,
1994-10,72.9,
1995-01,76.5,
1995-04,67.6,
1995-07,71.5,
1995-10,78.8,
1996-01,79.1,
1996-04,79.9,
1996-07,81.4,
1996-10,85.7,
1997-01,88.9,
1997-04,92.6,
1997-07,97.9,
1997-10,99.9,
1998-01,104.4,
1998-04,115.6,
1998-07,123.7,
1998-10,122.4,
1999-01,116.7,
1999-04,129.1,
1999-07,130.5,
1999-10,177.9,
2000-01,158.5,
2000-04,192.8,
2000-07,193.8,
2000-10,193.3,
2001-01,204.3,
2001-04,199.6,
2001-07,189.9,
2001-10,185.1,
2002-01,190.3,
2002-04,189.8,
2002-07,188.7,
2002-10,195.7,
2003-01,188.1,
2003-04,172.5,
2003-07,174.5,
2003-10,188.2,
2004-01,181.8,
2004-04,180.3,
2004-07,182.0,
2004-10,189.5,
2005-01,174.4,
2005-04,180.1,
2005-07,179.7,
2005-10,208.6,
2006-01,204.7,
2006-04,211.8,
2006-07,223.6,
2006-10,237.4,
2007-01,236.1,
2007-04,252.8,
2007-07,266.4,
2007-10,264.1,
2008-01,268.9,
2008-04,281.6,
2008-07,287.6,
2008-10,317.1,
2009-01,367.2,
2009-04,287.3,
2009-07,298.2,
2009-10,286.4,
2010-01,291.1,
2010-04,306.2,
2010-07,292.1,
2010-10,229.9,
2011-01,205.7,
2011-04,216.1,
2011-07,190.6,
2011-10,197.4,
2012-01,196.2,
2012-04,215.8,
2012-07,199.7,
2012-10,198.2,
2013-01,208.2,
2013-04,196.9,
2013-07,197.6,
2013-10,210.9,
2014-01,200.4,
