"",BBK01.OEBB16L,BBK01.OEBB16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:21,
2002-01,3.032,
2002-04,3.102,
2002-07,3.198,
2002-10,3.286,
2003-01,3.385,
2003-04,3.287,
2003-07,3.287,
2003-10,3.318,
2004-01,3.436,
2004-04,3.540,
2004-07,3.401,
2004-10,3.656,
2005-01,3.461,
2005-04,3.466,
2005-07,3.568,
2005-10,4.283,
2006-01,4.466,
2006-04,4.422,
2006-07,4.355,
2006-10,4.508,
2007-01,4.593,
2007-04,4.745,
2007-07,4.817,
2007-10,5.544,
2008-01,5.619,
2008-04,5.364,
2008-07,5.406,
2008-10,5.518,
2009-01,5.315,
2009-04,6.919,
2009-07,6.853,
2009-10,6.948,
2010-01,6.994,
2010-04,7.089,
2010-07,7.204,
2010-10,7.008,
2011-01,7.334,
2011-04,7.429,
2011-07,7.471,
2011-10,7.441,
2012-01,7.436,
2012-04,7.484,
2012-07,7.465,
2012-10,7.465,
2013-01,7.437,
2013-04,7.378,
2013-07,7.421,
2013-10,7.385,
2014-01,7.366,
2014-04,7.445,
2014-07,7.479,
