"",BBK01.OEAC38J,BBK01.OEAC38J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:44,
2002-01,0.005,
2002-04,0.006,
2002-07,0.005,
2002-10,0.007,
2003-01,0.005,
2003-04,0.007,
2003-07,0.019,
2003-10,0.017,
2004-01,0.005,
2004-04,0.006,
2004-07,0.007,
2004-10,0.013,
2005-01,0.013,
2005-04,0.010,
2005-07,0.009,
2005-10,0.009,
2006-01,0.009,
2006-04,0.008,
2006-07,0.008,
2006-10,0.004,
2007-01,0.030,
2007-04,0.029,
2007-07,0.031,
2007-10,0.078,
2008-01,0.079,
2008-04,0.117,
2008-07,0.072,
2008-10,0.097,
2009-01,0.095,
2009-04,0.107,
2009-07,0.143,
2009-10,0.244,
2010-01,0.262,
2010-04,0.215,
2010-07,0.213,
2010-10,0.221,
2011-01,0.216,
2011-04,0.215,
2011-07,0.181,
2011-10,0.167,
2012-01,0.126,
2012-04,0.130,
2012-07,0.148,
2012-10,0.148,
2013-01,0.147,
2013-04,0.152,
2013-07,0.156,
2013-10,0.156,
2014-01,0.155,
2014-04,0.163,
2014-07,0.165,
