"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F519._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F519._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Sonstige Anteilsrechte / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:53,
1991-01,-31.708,
1991-02,-33.319,
1991-03,9.308,
1991-04,100.485,
1991-05,80.543,
1991-06,21.979,
1991-07,69.317,
1991-08,57.208,
1991-09,7.682,
1991-10,31.476,
1991-11,22.852,
1991-12,16.557,
1992-01,107.241,
1992-02,543.866,
1992-03,-6.211,
1992-04,-4.226,
1992-05,55.548,
1992-06,88.169,
1992-07,47.279,
1992-08,17.776,
1992-09,32.654,
1992-10,53.160,
1992-11,52.239,
1992-12,64.984,
1993-01,233.979,
1993-02,651.461,
1993-03,-10.915,
1993-04,40.338,
1993-05,50.951,
1993-06,-11.546,
1993-07,54.245,
1993-08,15.081,
1993-09,37.610,
1993-10,50.766,
1993-11,15.807,
1993-12,75.169,
1994-01,695.241,
1994-02,-9.492,
1994-03,67.358,
1994-04,42.153,
1994-05,55.599,
1994-06,16.648,
1994-07,28.384,
1994-08,250.822,
1994-09,36.435,
1994-10,14.186,
1994-11,16.896,
1994-12,54.919,
1995-01,576.781,
1995-02,36.134,
1995-03,10.800,
1995-04,46.908,
1995-05,24.464,
1995-06,8.821,
1995-07,8.177,
1995-08,49.870,
1995-09,28.565,
1995-10,37.954,
1995-11,9.835,
1995-12,52.776,
1996-01,557.823,
1996-02,26.046,
1996-03,39.016,
1996-04,-14.086,
1996-05,-10.985,
1996-06,44.184,
1996-07,66.212,
1996-08,40.492,
1996-09,408.354,
1996-10,428.082,
1996-11,61.916,
1996-12,39.910,
1997-01,83.275,
1997-02,43.484,
1997-03,50.991,
1997-04,36.956,
1997-05,10.363,
1997-06,-9.203,
1997-07,392.965,
1997-08,241.065,
1997-09,181.249,
1997-10,-1.583,
1997-11,90.955,
1997-12,70.908,
1998-01,247.135,
1998-02,51.809,
1998-03,18.653,
1998-04,44.367,
1998-05,63.717,
1998-06,325.157,
1998-07,23.200,
1998-08,41.740,
1998-09,106.454,
1998-10,42.352,
1998-11,63.430,
1998-12,287.629,
1999-01,90.305,
1999-02,17.947,
1999-03,26.071,
1999-04,34.574,
1999-05,59.724,
1999-06,357.404,
1999-07,36.985,
1999-08,-20.212,
