"",BBK01.OEAF15T,BBK01.OEAF15T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:07,
2002-01,0.327,
2002-04,0.334,
2002-07,0.379,
2002-10,0.346,
2003-01,0.337,
2003-04,0.358,
2003-07,0.367,
2003-10,0.349,
2004-01,0.317,
2004-04,0.320,
2004-07,0.326,
2004-10,0.328,
2005-01,0.320,
2005-04,0.327,
2005-07,0.344,
2005-10,0.336,
2006-01,0.309,
2006-04,0.319,
2006-07,0.332,
2006-10,0.321,
2007-01,0.299,
2007-04,0.299,
2007-07,0.300,
2007-10,0.315,
2008-01,0.292,
2008-04,0.292,
2008-07,0.300,
2008-10,0.308,
2009-01,0.289,
2009-04,0.298,
2009-07,0.293,
2009-10,0.294,
2010-01,0.275,
2010-04,0.278,
2010-07,0.292,
2010-10,0.286,
2011-01,0.278,
2011-04,0.276,
2011-07,0.281,
2011-10,0.266,
2012-01,0.264,
2012-04,0.268,
2012-07,0.229,
2012-10,0.223,
2013-01,0.220,
2013-04,0.216,
2013-07,0.231,
2013-10,0.222,
2014-01,0.221,
2014-04,0.220,
2014-07,0.219,
