"",BBEX3.M.LKR.USD.CA.AB.A01,BBEX3.M.LKR.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Sri Lanka  / USD 1 = LKR ... (selling),
unit,LKR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:51,
1990-01,40.0225,
1990-02,40.0225,
1990-03,40.0225,
1990-04,40.0225,
1990-05,40.0225,
1990-06,40.0225,
1990-07,40.0225,
1990-08,39.9425,
1990-09,40.0125,
1990-10,40.4225,
1990-11,40.3125,
1990-12,40.2625,
1991-01,40.4025,
1991-02,40.7225,
1991-03,40.7825,
1991-04,40.9350,
1991-05,41.1225,
1991-06,41.1925,
1991-07,41.5225,
1991-08,41.8925,
1991-09,42.0425,
1991-10,42.2625,
1991-11,42.5250,
1991-12,42.6050,
1992-01,42.6850,
1992-02,43.0500,
1992-03,43.1100,
1992-04,43.4100,
1992-05,43.5900,
1992-06,44.0900,
1992-07,44.1700,
1992-08,43.9600,
1992-09,44.1600,
1992-10,44.3400,
1992-11,44.4500,
1992-12,46.1500,
1993-01,46.2000,
1993-02,46.5200,
1993-03,47.4000,
1993-04,47.8000,
1993-05,47.9200,
1993-06,48.2000,
1993-07,48.7500,
1993-08,48.8800,
1993-09,48.9300,
1993-10,49.0500,
1993-11,49.2700,
1993-12,49.2800,
1994-01,49.3100,
1994-02,48.9700,
1994-03,48.8600,
1994-04,48.8300,
1994-05,49.3600,
1994-06,49.0900,
1994-07,49.1800,
1994-08,49.2900,
1994-09,49.3100,
1994-10,49.0100,
1994-11,49.6800,
1994-12,49.7700,
1995-01,50.0600,
1995-02,49.9100,
1995-03,49.5100,
1995-04,49.4100,
1995-05,49.6700,
1995-06,50.3800,
1995-07,50.6500,
1995-08,51.6400,
1995-09,52.7500,
1995-10,52.6500,
1995-11,53.3000,
1995-12,53.8000,
1996-01,53.7800,
1996-02,53.6900,
1996-03,54.4000,
1996-04,54.7500,
1996-05,55.1300,
1996-06,55.7200,
1996-07,55.2500,
1996-08,55.7200,
1996-09,56.7500,
1996-10,57.1500,
1996-11,56.8000,
1996-12,56.8800,
1997-01,57.8000,
1997-02,57.6500,
1997-03,58.3800,
1997-04,59.3200,
1997-05,58.5500,
1997-06,58.6000,
1997-07,59.0000,
1997-08,59.2000,
1997-09,59.8500,
1997-10,59.7500,
1997-11,60.9500,
1997-12,61.8300,
1998-01,62.2300,
1998-02,61.8500,
1998-03,62.4500,
1998-04,63.6500,
1998-05,65.0500,
1998-06,65.5000,
1998-07,66.0600,
1998-08,66.4800,
1998-09,66.4500,
1998-10,67.1600,
1998-11,68.1400,
1998-12,68.4800,
1999-01,68.9800,
1999-02,69.5400,
1999-03,69.5200,
1999-04,69.8800,
1999-05,70.9200,
1999-06,71.7000,
1999-07,71.6600,
1999-08,71.8600,
1999-09,71.8800,
1999-10,71.6200,
1999-11,72.1200,
1999-12,72.4200,
2000-01,73.3800,
2000-02,73.6000,
2000-03,73.8400,
2000-04,74.1400,
2000-05,74.8600,
2000-06,79.3200,
2000-07,78.6000,
2000-08,78.4200,
2000-09,79.6600,
2000-10,79.6200,
2000-11,81.4800,
2000-12,82.8000,
2001-01,90.5000,
2001-02,86.2000,
2001-03,87.1000,
2001-04,90.4000,
2001-05,91.2000,
2001-06,90.8600,
2001-07,90.2500,
2001-08,90.3200,
2001-09,90.2200,
2001-10,91.8200,
2001-11,93.2800,
2001-12,93.2000,
2002-01,93.6600,
2002-02,93.7000,
2002-03,95.8000,
2002-04,96.2200,
2002-05,96.2600,
2002-06,96.2800,
2002-07,96.3400,
2002-08,96.4000,
2002-09,96.4500,
2002-10,96.4200,
2002-11,96.6400,
2002-12,96.7400,
2003-01,96.8800,
2003-02,96.9400,
2003-03,97.0000,
2003-04,97.1800,
2003-05,97.4000,
2003-06,97.4200,
2003-07,97.2000,
2003-08,96.8800,
2003-09,94.5700,
2003-10,94.7200,
2003-11,96.7000,
2003-12,96.9000,
2004-01,97.5400,
2004-02,98.3000,
2004-03,97.6400,
2004-04,98.6500,
2004-05,99.2800,
2004-06,102.5000,
2004-07,103.7000,
2004-08,103.3000,
2004-09,103.8800,
2004-10,103.8000,
2004-11,105.6800,
2004-12,104.7000,
2005-01,100.1300,
2005-02,99.9000,
2005-03,99.8600,
2005-04,100.2700,
2005-05,100.3100,
2005-06,100.5300,
2005-07,101.0200,
2005-08,101.7900,
2005-09,101.7000,
2005-10,102.3500,
2005-11,102.5200,
2005-12,102.6000,
2006-01,102.7200,
2006-02,103.0000,
2006-03,103.2400,
2006-04,103.3100,
2006-05,103.4800,
2006-06,104.5000,
2006-07,104.4800,
2006-08,102.7800,
2006-09,104.3400,
2006-10,108.2900,
2006-11,108.8300,
2006-12,108.3300,
2007-01,109.1300,
2007-02,109.2400,
2007-03,110.0100,
2007-04,110.6900,
2007-05,111.3300,
2007-06,111.9600,
2007-07,112.4100,
2007-08,113.5400,
2007-09,114.0400,
2007-10,111.9600,
2007-11,111.1300,
2007-12,109.3100,
2008-01,108.5900,
2008-02,108.3700,
2008-03,108.3100,
2008-04,108.3800,
2008-05,108.3800,
2008-06,108.2600,
2008-07,108.3000,
2008-08,108.4400,
2008-09,108.4600,
2008-10,111.1100,
2008-11,110.7700,
2008-12,114.0300,
2009-01,114.8500,
2009-02,116.1800,
2009-03,116.2800,
2009-04,121.0100,
2009-05,115.8700,
2009-06,115.8200,
2009-07,115.8100,
2009-08,115.6400,
2009-09,115.6300,
2009-10,115.6400,
2009-11,115.3000,
2009-12,115.1500,
2010-01,115.2200,
2010-02,115.4300,
2010-03,114.8400,
2010-04,114.7900,
2010-05,114.6900,
2010-06,114.3300,
2010-07,113.5200,
2010-08,113.5400,
2010-09,112.7700,
2010-10,112.6400,
2010-11,112.3300,
2010-12,112.0200,
2011-01,112.0000,
2011-02,111.6700,
2011-03,111.3300,
2011-04,110.7800,
2011-05,110.5200,
2011-06,110.3600,
2011-07,110.3000,
2011-08,110.6900,
2011-09,111.0500,
2011-10,110.9900,
2011-11,114.8800,
2011-12,114.8800,
2012-01,114.8800,
2012-02,123.0500,
2012-03,129.5700,
2012-04,131.7700,
2012-05,134.0000,
2012-06,135.4600,
2012-07,133.4700,
2012-08,133.9600,
2012-09,131.1700,
2012-10,131.6000,
2012-11,131.7000,
2012-12,128.8200,
2013-01,128.2900,
2013-02,129.0700,
2013-03,128.4700,
2013-04,128.3800,
2013-05,128.0400,
2013-06,132.0800,
2013-07,133.1500,
2013-08,135.0100,
2013-09,133.6200,
2013-10,132.6700,
2013-11,132.8400,
2013-12,132.3400,
2014-01,132.1600,
2014-02,132.4700,
2014-03,132.1700,
2014-04,132.0400,
2014-05,131.8800,
2014-06,131.7700,
2014-07,131.6200,
2014-08,131.6300,
2014-09,131.8600,
2014-10,132.3800,
2014-11,133.1500,
2014-12,133.3700,
2015-01,134.7000,
"","Source: Since 2005 Central Bank of Sri Lanka, Colombo  July 1998 - 2004 Commercial Bank of Ceylon Ltd., Colombo  1990 - June 1998 Bank of Ceylon, Colombo",
