"",BBEX3.M.MZN.USD.CA.AA.A01,BBEX3.M.MZN.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Mozambique / USD 1 = MZN ... (buying),
unit,MZN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:37,
2006-07,25.04,
2006-08,25.09,
2006-09,25.08,
2006-10,25.10,
2006-11,25.16,
2006-12,25.64,
2007-01,25.65,
2007-02,25.62,
2007-03,25.65,
2007-04,25.71,
2007-05,25.77,
2007-06,25.61,
2007-07,25.50,
2007-08,25.63,
2007-09,25.62,
2007-10,25.64,
2007-11,24.22,
2007-12,23.55,
2008-01,23.90,
2008-02,24.00,
2008-03,24.08,
2008-04,24.08,
2008-05,24.02,
2008-06,23.91,
2008-07,23.87,
2008-08,23.97,
2008-09,24.00,
2008-10,24.08,
2008-11,24.32,
2008-12,24.99,
2009-01,25.34,
2009-02,26.12,
2009-03,26.57,
2009-04,26.46,
2009-05,26.47,
2009-06,26.55,
2009-07,26.59,
2009-08,26.73,
2009-09,27.41,
2009-10,27.46,
2009-11,27.27,
2009-12,27.41,
2010-01,27.43,
2010-02,27.52,
2010-03,27.71,
2010-04,34.06,
2010-05,33.61,
2010-06,34.41,
2010-07,35.63,
2010-08,36.66,
2010-09,35.81,
2010-10,35.76,
2010-11,35.27,
2010-12,32.73,
2011-01,32.03,
2011-02,31.01,
2011-03,30.70,
2011-04,30.56,
2011-05,29.63,
2011-06,28.54,
2011-07,27.76,
2011-08,27.05,
2011-09,27.01,
2011-10,26.93,
2011-11,26.77,
2011-12,27.04,
2012-01,27.01,
2012-02,27.21,
2012-03,27.64,
2012-04,27.43,
2012-05,27.73,
2012-06,27.80,
2012-07,28.12,
2012-08,28.59,
2012-09,28.66,
2012-10,29.24,
2012-11,29.69,
2012-12,29.41,
2013-01,29.88,
2013-02,29.89,
2013-03,29.98,
2013-04,29.92,
2013-05,29.81,
2013-06,29.75,
2013-07,29.75,
2013-08,29.75,
2013-09,29.76,
2013-10,29.77,
2013-11,29.83,
2013-12,29.84,
2014-01,30.30,
2014-02,30.54,
2014-03,30.33,
2014-04,30.55,
2014-05,30.53,
2014-06,30.55,
2014-07,30.42,
2014-08,30.41,
2014-09,30.70,
2014-10,30.80,
2014-11,31.12,
2014-12,31.50,
2015-01,32.28,
"",General: Currency conversion with effect from 1 July 2006 at the rate of MZM 1000 (metical (old)) = MZN 1 (metical (new)). The currency conversion did not entail any appreciation or depreciation against other currencies.,
"","Source: Banco de Moçambique, Maputo.",
