"",BBK01.OEBI03P,BBK01.OEBI03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:28,
2002-01,0.479,
2002-04,0.468,
2002-07,0.461,
2002-10,0.456,
2003-01,0.452,
2003-04,0.431,
2003-07,0.474,
2003-10,0.650,
2004-01,0.595,
2004-04,0.614,
2004-07,0.385,
2004-10,0.563,
2005-01,0.483,
2005-04,0.362,
2005-07,0.363,
2005-10,0.459,
2006-01,0.433,
2006-04,0.387,
2006-07,0.387,
2006-10,0.438,
2007-01,0.533,
2007-04,0.554,
2007-07,0.688,
2007-10,0.862,
2008-01,0.912,
2008-04,0.900,
2008-07,0.836,
2008-10,1.022,
2009-01,0.953,
2009-04,0.809,
2009-07,0.756,
2009-10,0.686,
2010-01,0.794,
2010-04,0.561,
2010-07,0.561,
2010-10,0.579,
2011-01,0.632,
2011-04,0.707,
2011-07,0.684,
2011-10,0.762,
2012-01,0.722,
2012-04,0.770,
2012-07,0.941,
2012-10,0.842,
2013-01,0.752,
2013-04,0.620,
2013-07,0.534,
2013-10,0.427,
2014-01,0.430,
2014-04,0.540,
2014-07,0.406,
