"",BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:29,
1991-01,-43.441,
1991-04,-37.700,
1991-07,-38.553,
1991-10,-60.906,
1992-01,-23.049,
1992-04,-24.283,
1992-07,-22.786,
1992-10,-22.774,
1993-01,9.938,
1993-04,17.817,
1993-07,17.312,
1993-10,18.654,
1994-01,2.936,
1994-04,2.930,
1994-07,2.936,
1994-10,-4.376,
1995-01,51.645,
1995-04,25.794,
1995-07,51.693,
1995-10,51.693,
1996-01,49.116,
1996-04,49.116,
1996-07,49.116,
1996-10,43.830,
1997-01,60.076,
1997-04,60.076,
1997-07,60.076,
1997-10,60.076,
1998-01,38.347,
1998-04,38.347,
1998-07,38.347,
1998-10,38.347,
1999-01,27.000,
1999-04,27.000,
1999-07,27.000,
1999-10,25.620,
2000-01,30.000,
2000-04,30.000,
2000-07,30.000,
2000-10,32.772,
2001-01,14.216,
2001-04,-20.606,
2001-07,-28.858,
2001-10,-40.784,
2002-01,5.535,
2002-04,8.604,
2002-07,-0.226,
2002-10,-537.260,
2003-01,52.120,
2003-04,71.011,
2003-07,41.679,
2003-10,-96.986,
2004-01,88.691,
2004-04,99.396,
2004-07,24.722,
2004-10,36.078,
2005-01,54.411,
2005-04,44.692,
2005-07,-83.225,
2005-10,3.037,
2006-01,183.191,
2006-04,132.011,
2006-07,152.674,
2006-10,120.323,
2007-01,198.461,
2007-04,182.681,
2007-07,150.937,
2007-10,-173.116,
2008-01,87.779,
2008-04,52.463,
2008-07,-76.882,
2008-10,-56.486,
2009-01,145.428,
2009-04,138.945,
2009-07,143.014,
2009-10,133.616,
2010-01,-16.691,
2010-04,-24.446,
2010-07,149.221,
2010-10,96.606,
2011-01,91.747,
2011-04,164.498,
2011-07,161.557,
2011-10,89.551,
2012-01,181.486,
2012-04,80.693,
2012-07,152.161,
2012-10,40.877,
2013-01,135.003,
2013-04,126.003,
2013-07,142.993,
2013-10,56.983,
2014-01,156.003,Provisional value
2014-04,127.503,Provisional value
2014-07,108.003,Provisional value
2014-10,87.716,Provisional value
