"",BBK01.OUD192,BBK01.OUD192_FLAGS
"",Time deposits of domestic non-banks (non-MFIs) / for up and including 1 year / Regional banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:17:04,
1968-12,5.251,
1969-01,5.222,
1969-02,5.112,
1969-03,4.941,
1969-04,5.028,
1969-05,5.344,
1969-06,5.110,
1969-07,5.196,
1969-08,5.208,
1969-09,5.676,
1969-10,5.891,
1969-11,5.763,
1969-12,6.477,
1970-01,6.151,
1970-02,6.137,
1970-03,5.817,
1970-04,6.096,
1970-05,6.303,
1970-06,6.530,
1970-07,7.020,
1970-08,7.265,
1970-09,6.979,
1970-10,7.071,
1970-11,7.357,
1970-12,8.165,
1971-01,8.008,
1971-02,7.983,
1971-03,8.063,
1971-04,8.590,
1971-05,9.143,
1971-06,8.756,
1971-07,8.659,
1971-08,8.547,
1971-09,8.442,
1971-10,8.571,
1971-11,8.940,
1971-12,9.927,
1972-01,9.841,
1972-02,9.860,
1972-03,9.336,
1972-04,9.495,
1972-05,10.074,
1972-06,9.950,
1972-07,10.116,
1972-08,10.349,
1972-09,10.145,
1972-10,10.493,
1972-11,10.737,
1972-12,12.003,
1973-01,12.199,
1973-02,12.702,
1973-03,12.170,
1973-04,12.386,
1973-05,13.675,
1973-06,13.381,
1973-07,13.223,
1973-08,14.079,
1973-09,13.683,
1973-10,14.319,
1973-11,14.633,
1973-12,14.873,
1974-01,15.019,
1974-02,15.001,
1974-03,14.122,
1974-04,15.168,
1974-05,15.149,
1974-06,14.305,
1974-07,13.614,
1974-08,13.143,
1974-09,12.789,
1974-10,12.783,
1974-11,12.627,
1974-12,13.666,
1975-01,13.460,
1975-02,13.963,
1975-03,13.018,
1975-04,12.745,
1975-05,12.365,
1975-06,11.467,
1975-07,11.425,
1975-08,11.643,
1975-09,10.813,
1975-10,11.766,
1975-11,11.836,
1975-12,12.713,
1976-01,12.571,
1976-02,12.270,
1976-03,12.000,
1976-04,12.370,
1976-05,12.419,
1976-06,12.146,
1976-07,12.123,
1976-08,12.695,
1976-09,12.667,
1976-10,13.890,
1976-11,13.393,
1976-12,14.452,
1977-01,13.385,
1977-02,13.347,
1977-03,13.143,
1977-04,13.239,
1977-05,13.421,
1977-06,12.840,
1977-07,13.034,
1977-08,13.617,
1977-09,13.460,
1977-10,14.517,
1977-11,14.656,
1977-12,16.787,
1978-01,15.144,
1978-02,14.966,
1978-03,14.147,
1978-04,14.164,
1978-05,14.763,
1978-06,14.534,
1978-07,15.107,
1978-08,15.927,
1978-09,15.786,
