"",BBK01.OEXK02H,BBK01.OEXK02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:03,
2002-01,1.862,
2002-04,1.852,
2002-07,1.969,
2002-10,2.109,
2003-01,2.262,
2003-04,2.274,
2003-07,1.736,
2003-10,1.677,
2004-01,1.776,
2004-04,1.503,
2004-07,1.476,
2004-10,1.519,
2005-01,1.533,
2005-04,1.649,
2005-07,1.707,
2005-10,1.692,
2006-01,1.777,
2006-04,1.946,
2006-07,1.781,
2006-10,1.824,
2007-01,1.860,
2007-04,2.028,
2007-07,2.096,
2007-10,1.967,
2008-01,2.042,
2008-04,1.949,
2008-07,1.927,
2008-10,1.769,
2009-01,2.025,
2009-04,2.085,
2009-07,2.079,
2009-10,2.131,
2010-01,2.249,
2010-04,2.314,
2010-07,2.279,
2010-10,2.037,
2011-01,2.100,
2011-04,2.238,
2011-07,2.338,
2011-10,2.342,
2012-01,2.420,
2012-04,2.482,
2012-07,2.622,
2012-10,2.628,
2013-01,2.676,
2013-04,2.802,
2013-07,2.929,
2013-10,3.085,
2014-01,3.103,
2014-04,3.098,
2014-07,3.317,
